Rank,Name,Company,Link
1,Exos Heroes,LINE Games,https://www.appannie.com/apps/google-play/app/com.linegames.exos/details/
2,Hero Cantare with WEBTOON™,Ngel Games,https://www.appannie.com/apps/google-play/app/com.ngelgames.herocantare/details/
3,Recharge Please!,Geisha Tokyo,https://www.appannie.com/apps/google-play/app/com.charge.them.all/details/
4,Zynn,OWLII,https://www.appannie.com/apps/google-play/app/com.owlreality.zynn/details/
5,Brain Test 2: Tricky Stories,Unico Studio,https://www.appannie.com/apps/google-play/app/com.unicostudio.braintest2new/details/
6,Repair Master 3D,Rollic,https://www.appannie.com/apps/google-play/app/com.quok.repairMaster3d/details/
7,Lucky Dice,Lucky King Studio Limited,https://www.appannie.com/apps/google-play/app/com.luckydice.fun/details/
8,X-Ray,Webedia,https://www.appannie.com/apps/google-play/app/com.scimob.bubble.xray/details/
9,SpongeBob: Krusty Cook-Off,Tilting Point,https://www.appannie.com/apps/google-play/app/com.tiltingpoint.spongebob/details/
10,Bullet Bender,Lion Studios,https://www.appannie.com/apps/google-play/app/com.playCog.bulletBender/details/
11,Hyper Life,Suji Games,https://www.appannie.com/apps/google-play/app/com.redcat.hyperlife3d/details/
12,Whooo?,Yso,https://www.appannie.com/apps/google-play/app/com.YsoCorp.WhoAmI/details/
13,Car Restoration 3D,Rollic,https://www.appannie.com/apps/google-play/app/com.tiplaystudio.CarRestoration3D/details/
14,Bead Sort!,Supersonic,https://www.appannie.com/apps/google-play/app/com.FogwattGames.BeadSort/details/
15,Super Sniper!,Voodoo,https://www.appannie.com/apps/google-play/app/com.mitochondriastudios.supersniper/details/
16,Ice Cream Roll,Lucky Kat Studios,https://www.appannie.com/apps/google-play/app/com.luckykat.icecreamroll/details/
17,Crash Race.io,wlxydf3,https://www.appannie.com/apps/google-play/app/com.mpmf.crashraceio/details/
18,Car Crusher,BoomBit,https://www.appannie.com/apps/google-play/app/com.car.crusher/details/
19,Color Flow 3D,Good Job Games,https://www.appannie.com/apps/google-play/app/com.game.colorflow3d/details/
20,Stick Super: Hero - Fight for the shadow legends,Funnii,https://www.appannie.com/apps/google-play/app/com.funnii.stick.superhero.offlinegames/details/
21,Get Married 3D,Gamejam,https://www.appannie.com/apps/google-play/app/com.game.jam.get.married.best.love.girl/details/
22,Cooking Games 3D,Gamejam,https://www.appannie.com/apps/google-play/app/com.game.jam.cooking.games.best/details/
23,Flick Chess!!,Supersonic,https://www.appannie.com/apps/google-play/app/com.twostar.flickchess/details/
24,Wordy word - wordscape free & get relax,Mini Joy Official,https://www.appannie.com/apps/google-play/app/com.word.wordy.wordscape.wordrelax/details/
25,Katana Master,OneSoft,https://www.appannie.com/apps/google-play/app/com.os.falcon.vgames.katana.master/details/
26,Robot Super: Hero,Funnii,https://www.appannie.com/apps/google-play/app/com.funnii.robotsuper.offlinegames/details/
27,My Town : Museum Free,My Town,https://www.appannie.com/apps/google-play/app/mytown.museum.free/details/
28,Draw a Stickman: EPIC 3,Hitcents,https://www.appannie.com/apps/google-play/app/com.hitcents.drawastickmanepic3/details/
29,Idle Air Force Base,Neon Play,https://www.appannie.com/apps/google-play/app/com.neonplay.casualidleairforcebase/details/
30,Good Slice,Voodoo,https://www.appannie.com/apps/google-play/app/com.lightneer.goodslice/details/
31,Frontier Justice-Return to the Wild West,Onemt,https://www.appannie.com/apps/google-play/app/and.onemt.ww/details/
32,Fix the Item!,Alictus,https://www.appannie.com/apps/google-play/app/com.clowngames.fixtheitem/details/
33,Skins Master for Minecraft PE,DUCSTUDIO,https://www.appannie.com/apps/google-play/app/com.minecraft.mcpe.skins.master/details/
