Rank,Name,Company,Link
Word Picnic:Fun Word Games,36,Word Game Studio,https://www.appannie.com/apps/google-play/app/com.word.picnic.fun.crossword.puzzle/details/
Super Cleaner - Most Effective & Free Cleaner App,69,TISHA EVERETT,https://www.appannie.com/apps/google-play/app/com.supercleaner.bestbooster.cpucooler.extendbatteryusage.memory.powerfultool/details/
Mother Simulator: Family Life,105,"Skytec Games, Inc.",https://www.appannie.com/apps/google-play/app/com.mothersimulator3d2/details/
Monster School for Minecraft,111,Xikltyso,https://www.appannie.com/apps/google-play/app/com.monster.school.games.map/details/
CuteCube - easy money,121,Moonwon Jeon,https://www.appannie.com/apps/google-play/app/com.mysoftware.moneasy1/details/
Block Puzzle:Classic Brick Game,137,Winifred Minter,https://www.appannie.com/apps/google-play/app/com.freewm.blocks.puzzle/details/
HotFlirt: friends with benefits.,147,SugarD,https://www.appannie.com/apps/google-play/app/com.chatforadults.omgyx/details/
Love Checker,153,Cartoon kids Car & Bike Racing Shooting games,https://www.appannie.com/apps/google-play/app/com.love.checker/details/
Supreme Stickman Fighting - Duel Stick Fight Game,155,Smart Pocket Ltd.,https://www.appannie.com/apps/google-play/app/com.supreme.stickman.fighting.stick.fight/details/
Perfect Plane,161,Games Operators,https://www.appannie.com/apps/google-play/app/com.hanna.plane/details/
BE-A Walker DEMO,162,Quleduo,https://www.appannie.com/apps/google-play/app/com.tequilabyte.walker/details/
Rapid Cleaner U,168,Platinum Player,https://www.appannie.com/apps/google-play/app/ruct.wopo1.zcmy.ttrc.xtrmz/details/
Match Town Makeover: Your town is your puzzle,175,Saturno Systems,https://www.appannie.com/apps/google-play/app/com.g5e.matchtownmakeover.android/details/
Siren Head Game,176,Words Mobile,https://www.appannie.com/apps/google-play/app/com.SaturnoSystems.SirenHead/details/
Atlas One,180,PlayStack,https://www.appannie.com/apps/google-play/app/app.atlasone/details/
Secret Mobile Codes : Secret Tricks,185,App Holdings,https://www.appannie.com/apps/google-play/app/com.ravitechno.mobile.secretcodes/details/
UBER – Vacation Rentals & Real Estate Sales,191,Mamara Games,https://www.appannie.com/apps/google-play/app/com.UBER/details/
Educational Systems Federal Credit Union - New,195,Nidal Ahmed,https://www.appannie.com/apps/google-play/app/com.malauzai.DH19004/details/
Angry Crocodile Game: New Wild Hunting Games,197,CyberCat Studio,https://www.appannie.com/apps/google-play/app/com.gp.angry.crocodile.simulator.attack.hunting.games/details/
Jewel Block Puzzle,199,LINE Games,https://www.appannie.com/apps/google-play/app/com.hw.lucky.blockpuzzle/details/
