Rank,Name,Company,Link
Fresh EBT - Food Stamp Balance & Unemployment App,54,Propel,https://www.appannie.com/apps/google-play/app/com.propel.ebenefits/details/
Flick Chess!!,131,Supersonic,https://www.appannie.com/apps/google-play/app/com.twostar.flickchess/details/
Craft Vegas,174,akseno2,https://www.appannie.com/apps/google-play/app/com.ua.toybuilding.survival/details/
Yahoo Mail – Organized Email,177,Yahoo!,https://www.appannie.com/apps/google-play/app/com.yahoo.mobile.client.android.mail/details/
"Emoji Home - Fun Emoji, GIFs, and Stickers",179,Emoji Home,https://www.appannie.com/apps/google-play/app/com.home.emoticon.emoji/details/
Easy Game - Brain Test & Tricky Mind Puzzle,183,Easybrain,https://www.appannie.com/apps/google-play/app/com.easybrain.brain.test.easy.game/details/
Hungry Shark Evolution,184,Ubisoft,https://www.appannie.com/apps/google-play/app/com.fgol.HungrySharkEvolution/details/
Township,188,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.township/details/
Google Translate,191,Google,https://www.appannie.com/apps/google-play/app/com.google.android.apps.translate/details/
Signal Private Messenger,196,Signal Foundation,https://www.appannie.com/apps/google-play/app/org.thoughtcrime.securesms/details/
Cisco Webex Meetings,198,Cisco,https://www.appannie.com/apps/google-play/app/com.cisco.webex.meetings/details/
