Rank,Name,Company,Link
1,TikTok - Make Your Day,Beijing Microlive Vision,https://www.appannie.com/apps/google-play/app/com.zhiliaoapp.musically/details/
2,"HBO Max: Stream HBO, TV, Movies & More",Warner Media,https://www.appannie.com/apps/google-play/app/com.hbo.hbonow/details/
3,Messenger – Text and Video Chat for Free,Facebook,https://www.appannie.com/apps/google-play/app/com.facebook.orca/details/
4,Roblox,Roblox,https://www.appannie.com/apps/google-play/app/com.roblox.client/details/
5,Facebook,Facebook,https://www.appannie.com/apps/google-play/app/com.facebook.katana/details/
6,Fishdom,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.fishdomdd.gplay/details/
7,"Pandora - Streaming Music, Radio & Podcasts",Pandora,https://www.appannie.com/apps/google-play/app/com.pandora.android/details/
8,Gardenscapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.gardenscapes/details/
9,Disney+,Disney,https://www.appannie.com/apps/google-play/app/com.disney.disneyplus/details/
10,Coin Master,Moon Active,https://www.appannie.com/apps/google-play/app/com.moonactive.coinmaster/details/
11,Call of Duty®: Mobile,Activision Publishing,https://www.appannie.com/apps/google-play/app/com.activision.callofduty.shooter/details/
12,Fortnite,Epic Games,https://www.appannie.com/apps/google-play/app/com.epicgames.fortnite/details/
13,Garena Free Fire: Rampage,Garena Online,https://www.appannie.com/apps/google-play/app/com.dts.freefireth/details/
14,Candy Crush Saga,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsaga/details/
15,Twitch: Livestream Multiplayer Games & Esports,Twitch Interactive,https://www.appannie.com/apps/google-play/app/tv.twitch.android.app/details/
16,Homescapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.homescapes/details/
17,"Calm - Meditate, Sleep, Relax",Calm,https://www.appannie.com/apps/google-play/app/com.calm.android/details/
18,"BIGO LIVE–Live Stream, Video Chat, Make Friends",BIGO,https://www.appannie.com/apps/google-play/app/sg.bigo.live/details/
19,Sniper 3D: Fun Offline Gun Shooting Games Free,Wildlife Studios,https://www.appannie.com/apps/google-play/app/com.fungames.sniper3d/details/
