Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/google-play/app/com.mojang.minecraftpe/details/
2,Coin Master,Moon Active,https://www.appannie.com/apps/google-play/app/com.moonactive.coinmaster/details/
3,Roblox,Roblox,https://www.appannie.com/apps/google-play/app/com.roblox.client/details/
4,Candy Crush Saga,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsaga/details/
5,Gardenscapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.gardenscapes/details/
6,Google One,Google,https://www.appannie.com/apps/google-play/app/com.google.android.apps.subscriptions.red/details/
7,Clash of Clans,Supercell,https://www.appannie.com/apps/google-play/app/com.supercell.clashofclans/details/
8,Slotomania™ Slots Casino: Slot Machine Games,Playtika,https://www.appannie.com/apps/google-play/app/air.com.playtika.slotomania/details/
9,"Pandora - Streaming Music, Radio & Podcasts",Pandora,https://www.appannie.com/apps/google-play/app/com.pandora.android/details/
10,Pokémon GO,Niantic,https://www.appannie.com/apps/google-play/app/com.nianticlabs.pokemongo/details/
11,Bingo Blitz™️ - Bingo Games,Playtika Santa Monica,https://www.appannie.com/apps/google-play/app/air.com.buffalo_studios.newflashbingo/details/
12,Homescapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.homescapes/details/
13,DRAGON BALL LEGENDS,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/google-play/app/com.bandainamcoent.dblegends_ww/details/
14,Merge Dragons!,Gram Games,https://www.appannie.com/apps/google-play/app/com.gramgames.mergedragons/details/
15,Garena Free Fire: Rampage,Garena Online,https://www.appannie.com/apps/google-play/app/com.dts.freefireth/details/
16,Jackpot Party Casino Games: Spin FREE Casino Slots,Scientific Games,https://www.appannie.com/apps/google-play/app/com.williamsinteractive.jackpotparty/details/
17,MARVEL Strike Force - Squad RPG,FoxNext Games,https://www.appannie.com/apps/google-play/app/com.foxnextgames.m3/details/
