Rank,Name,Company,Link
Minecraft,1,Mojang,https://www.appannie.com/apps/google-play/app/com.mojang.minecraftpe/details/
Scanner Radio Pro - Fire and Police Scanner,2,Gordon Edwards,https://www.appannie.com/apps/google-play/app/com.scannerradio_pro/details/
Dead Cells,3,Playdigious,https://www.appannie.com/apps/google-play/app/com.playdigious.deadcells.mobile/details/
Bloons TD 6,4,Ninja Kiwi,https://www.appannie.com/apps/google-play/app/com.ninjakiwi.bloonstd6/details/
Monopoly - Board game classic about real-estate!,5,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.monopoly/details/
Ultimate Custom Night,6,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.ultimatecustomnight/details/
Grand Theft Auto: San Andreas,7,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstargames.gtasa/details/
Terraria,8,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.TerrariaPaid/details/
My Movies 3 Pro - Movie & TV Collection Library,9,Binnerup Consult,https://www.appannie.com/apps/google-play/app/dk.mymovies.mymovies3forandroidpro/details/
The Escapists 2: Pocket Breakout,10,Team17,https://www.appannie.com/apps/google-play/app/com.team17.escapists2/details/
Geometry Dash,11,RobTop,https://www.appannie.com/apps/google-play/app/com.robtopx.geometryjump/details/
Five Nights at Freddy's,12,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fivenightsatfreddys/details/
The Escapists: Prison Escape,13,Team17,https://www.appannie.com/apps/google-play/app/com.team17.escapists/details/
Human: Fall Flat,14,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.humanfallflat/details/
Police Scanner 5-0,15,LogiCord,https://www.appannie.com/apps/google-play/app/com.criticalhitsoftware.scanner50/details/
NBA 2K20,16,2K Games,https://www.appannie.com/apps/google-play/app/com.t2ksports.nba2k20and/details/
The Game of Life,17,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.golmobile/details/
Five Nights at Freddy's 2,18,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fnaf2/details/
FNaF 6: Pizzeria Simulator,19,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.freddyfazbearspizzeriasimulator/details/
