Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/google-play/app/com.mojang.minecraftpe/details/
2,Scanner Radio Pro - Fire and Police Scanner,Gordon Edwards,https://www.appannie.com/apps/google-play/app/com.scannerradio_pro/details/
3,Dead Cells,Playdigious,https://www.appannie.com/apps/google-play/app/com.playdigious.deadcells.mobile/details/
4,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/google-play/app/com.ninjakiwi.bloonstd6/details/
5,Monopoly - Board game classic about real-estate!,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.monopoly/details/
6,Ultimate Custom Night,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.ultimatecustomnight/details/
7,Grand Theft Auto: San Andreas,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstargames.gtasa/details/
8,Terraria,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.TerrariaPaid/details/
9,My Movies 3 Pro - Movie & TV Collection Library,Binnerup Consult,https://www.appannie.com/apps/google-play/app/dk.mymovies.mymovies3forandroidpro/details/
10,The Escapists 2: Pocket Breakout,Team17,https://www.appannie.com/apps/google-play/app/com.team17.escapists2/details/
11,Geometry Dash,RobTop,https://www.appannie.com/apps/google-play/app/com.robtopx.geometryjump/details/
12,Five Nights at Freddy's,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fivenightsatfreddys/details/
13,The Escapists: Prison Escape,Team17,https://www.appannie.com/apps/google-play/app/com.team17.escapists/details/
14,Human: Fall Flat,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.humanfallflat/details/
15,Police Scanner 5-0,LogiCord,https://www.appannie.com/apps/google-play/app/com.criticalhitsoftware.scanner50/details/
16,NBA 2K20,2K Games,https://www.appannie.com/apps/google-play/app/com.t2ksports.nba2k20and/details/
17,The Game of Life,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.golmobile/details/
18,Five Nights at Freddy's 2,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fnaf2/details/
19,FNaF 6: Pizzeria Simulator,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.freddyfazbearspizzeriasimulator/details/
