Name,New Rank,Old Rank,Company,Link
"News Home: Breaking News, Local & World News Today",27,38,My Home Apps,https://www.appannie.com/apps/google-play/app/com.home.news.breaking/details/
Shop: delivery & order tracker,33,43,Shopify,https://www.appannie.com/apps/google-play/app/com.shopify.arrive/details/
Microsoft Teams,45,69,Microsoft,https://www.appannie.com/apps/google-play/app/com.microsoft.teams/details/
Lucky Dice,46,59,Lucky King Studio Limited,https://www.appannie.com/apps/google-play/app/com.luckydice.fun/details/
X-Ray,64,74,Webedia,https://www.appannie.com/apps/google-play/app/com.scimob.bubble.xray/details/
Tower Run,65,101,Voodoo,https://www.appannie.com/apps/google-play/app/com.lawson.tower/details/
Lucky Pusher - Win Big Rewards,71,94,Shapekeeper,https://www.appannie.com/apps/google-play/app/com.vip.luckypusher/details/
SHEIN-Fashion Shopping Online,75,86,Shein,https://www.appannie.com/apps/google-play/app/com.zzkko/details/
Garena Free Fire: Rampage,76,88,Garena Online,https://www.appannie.com/apps/google-play/app/com.dts.freefireth/details/
Hyper Life,77,110,Suji Games,https://www.appannie.com/apps/google-play/app/com.redcat.hyperlife3d/details/
Subway Surfers,79,89,Sybo,https://www.appannie.com/apps/google-play/app/com.kiloo.subwaysurf/details/
"Calm - Meditate, Sleep, Relax",82,103,Calm,https://www.appannie.com/apps/google-play/app/com.calm.android/details/
Whooo?,92,124,Yso,https://www.appannie.com/apps/google-play/app/com.YsoCorp.WhoAmI/details/
Your Phone Companion - Link to Windows,99,113,Microsoft,https://www.appannie.com/apps/google-play/app/com.microsoft.appmanager/details/
Microsoft Outlook: Organize Your Email & Calendar,112,140,Microsoft,https://www.appannie.com/apps/google-play/app/com.microsoft.office.outlook/details/
Beat Blade: Dash Dance🎵⚔️,117,127,BattleCry HQ Studio,https://www.appannie.com/apps/google-play/app/com.dropthebeat.beatblade/details/
Super Sniper!,123,162,Voodoo,https://www.appannie.com/apps/google-play/app/com.mitochondriastudios.supersniper/details/
Samsung Smart Switch Mobile,127,145,Samsung Electronics,https://www.appannie.com/apps/google-play/app/com.sec.android.easyMover/details/
MyChart,130,196,Epic Systems,https://www.appannie.com/apps/google-play/app/epic.mychart.android/details/
Pull the Pin,136,154,Popcore,https://www.appannie.com/apps/google-play/app/com.maroieqrwlk.unpin/details/
Futurescope,143,170,Raydem,https://www.appannie.com/apps/google-play/app/com.dev.furturescope/details/
Google Duo - High Quality Video Calls,145,158,Google,https://www.appannie.com/apps/google-play/app/com.google.android.apps.tachyon/details/
Telegram,152,173,Telegram,https://www.appannie.com/apps/google-play/app/org.telegram.messenger/details/
Happy Color™ – Color by Number,155,185,X-Flow,https://www.appannie.com/apps/google-play/app/com.pixel.art.coloring.color.number/details/
Great Clips Online Check-in,158,174,Great Clips,https://www.appannie.com/apps/google-play/app/com.greatclips.android/details/
"Adobe Acrobat Reader: PDF Viewer, Editor & Creator",161,194,Adobe,https://www.appannie.com/apps/google-play/app/com.adobe.reader/details/
News Home - Full Screen News Widget and Launcher,162,175,Yobi Mobi,https://www.appannie.com/apps/google-play/app/com.myhomescreen.news/details/
Avatoon - Avatar Creator & Emoji Me,165,188,IdeaLabs.,https://www.appannie.com/apps/google-play/app/face.cartoon.picture.editor.emoji/details/
"SoundCloud - Play Music, Audio & New Songs",167,180,SoundCloud,https://www.appannie.com/apps/google-play/app/com.soundcloud.android/details/
MISTPLAY: Gift Cards & Rewards For Playing Games,173,183,MISTPLAY,https://www.appannie.com/apps/google-play/app/com.mistplay.mistplay/details/
