Name,New Rank,Old Rank,Company,Link
Minecraft,1,126,Mojang,https://www.appannie.com/apps/google-play/app/com.mojang.minecraftpe/details/
Candy Crush Saga,4,14,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsaga/details/
Google One,6,28,Google,https://www.appannie.com/apps/google-play/app/com.google.android.apps.subscriptions.red/details/
Clash of Clans,7,30,Supercell,https://www.appannie.com/apps/google-play/app/com.supercell.clashofclans/details/
Slotomania™ Slots Casino: Slot Machine Games,8,29,Playtika,https://www.appannie.com/apps/google-play/app/air.com.playtika.slotomania/details/
Pokémon GO,10,31,Niantic,https://www.appannie.com/apps/google-play/app/com.nianticlabs.pokemongo/details/
Bingo Blitz™️ - Bingo Games,11,32,Playtika Santa Monica,https://www.appannie.com/apps/google-play/app/air.com.buffalo_studios.newflashbingo/details/
DRAGON BALL LEGENDS,13,38,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/google-play/app/com.bandainamcoent.dblegends_ww/details/
Merge Dragons!,14,33,Gram Games,https://www.appannie.com/apps/google-play/app/com.gramgames.mergedragons/details/
Jackpot Party Casino Games: Spin FREE Casino Slots,16,39,Scientific Games,https://www.appannie.com/apps/google-play/app/com.williamsinteractive.jackpotparty/details/
MARVEL Strike Force - Squad RPG,17,34,FoxNext Games,https://www.appannie.com/apps/google-play/app/com.foxnextgames.m3/details/
Candy Crush Soda Saga,18,35,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsodasaga/details/
Empires & Puzzles: Epic Match 3,19,36,Small Giant Games,https://www.appannie.com/apps/google-play/app/com.smallgiantgames.empires/details/
Toon Blast,20,37,Peak,https://www.appannie.com/apps/google-play/app/net.peakgames.toonblast/details/
Summoners War,22,42,Com2uS,https://www.appannie.com/apps/google-play/app/com.com2us.smon.normal.freefull.google.kr.android.common/details/
Rise of Kingdoms: Lost Crusade,23,40,Lilith,https://www.appannie.com/apps/google-play/app/com.lilithgame.roc.gp/details/
PUBG MOBILE - Mad Miramar,24,41,Tencent,https://www.appannie.com/apps/google-play/app/com.tencent.ig/details/
Township,25,43,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.township/details/
Klondike Adventures,28,44,Vizor,https://www.appannie.com/apps/google-play/app/com.vizorapps.klondike/details/
Lords Mobile: Kingdom Wars,29,49,IGG,https://www.appannie.com/apps/google-play/app/com.igg.android.lordsmobile/details/
RAID: Shadow Legends,30,47,Plarium,https://www.appannie.com/apps/google-play/app/com.plarium.raidlegends/details/
King of Avalon: Dragon War | Multiplayer Strategy,32,46,FunPlus,https://www.appannie.com/apps/google-play/app/com.funplus.kingofavalon/details/
Cashman Casino: Vegas Slot Machines! 2M Free!,34,48,Product Madness,https://www.appannie.com/apps/google-play/app/com.productmadness.cashmancasino/details/
Star Trek™ Fleet Command,35,51,Scopely,https://www.appannie.com/apps/google-play/app/com.scopely.startrek/details/
Guns of Glory: Build an Epic Army for the Kingdom,36,52,FunPlus,https://www.appannie.com/apps/google-play/app/com.diandian.gog/details/
Cash Frenzy™ Casino – Top Casino Games,37,50,Bole Games,https://www.appannie.com/apps/google-play/app/slots.pcg.casino.games.free.android/details/
POP! Slots ™- Play Vegas Casino Slot Machines!,38,53,PlayStudios,https://www.appannie.com/apps/google-play/app/com.playstudios.popslots/details/
Last Shelter: Survival,39,55,Long Tech Network,https://www.appannie.com/apps/google-play/app/com.more.dayzsurvival.gp/details/
House of Fun™️: Free Slots & Casino Games,41,54,Playtika,https://www.appannie.com/apps/google-play/app/com.pacificinteractive.HouseOfFun/details/
Huuuge Casino Slots - Best Slot Machines,43,59,Huuuge Games,https://www.appannie.com/apps/google-play/app/com.huuuge.casino.slots/details/
Marvel Contest of Champions,44,62,Kabam,https://www.appannie.com/apps/google-play/app/com.kabam.marvelbattle/details/
Vegas Slots - DoubleDown Casino,45,58,Double Down Interactive,https://www.appannie.com/apps/google-play/app/com.ddi/details/
AFK Arena,46,57,Lilith,https://www.appannie.com/apps/google-play/app/com.lilithgame.hgame.gp/details/
Golf Clash,48,60,Playdemic,https://www.appannie.com/apps/google-play/app/com.playdemic.golf.android/details/
Game of Thrones: Conquest ™ - Strategy Game,49,61,Warner Bros,https://www.appannie.com/apps/google-play/app/com.wb.goog.got.conquest/details/
DoubleU Casino - Free Slots,50,64,DoubleU,https://www.appannie.com/apps/google-play/app/com.doubleugames.DoubleUCasino/details/
Mafia City,51,63,Yotta Games,https://www.appannie.com/apps/google-play/app/com.yottagames.mafiawar/details/
Toy Blast,52,66,Peak,https://www.appannie.com/apps/google-play/app/net.peakgames.amy/details/
Slots: Heart of Vegas™ – Free Slot Casino Games,54,65,Product Madness,https://www.appannie.com/apps/google-play/app/com.productmadness.hovmobile/details/
Solitaire TriPeaks: Play Free Solitaire Card Games,55,67,Game Show Network,https://www.appannie.com/apps/google-play/app/com.gsn.android.tripeaks/details/
World Series of Poker – WSOP Free Texas Holdem,56,68,Playtika,https://www.appannie.com/apps/google-play/app/com.playtika.wsop.gp/details/
Clash Royale,57,71,Supercell,https://www.appannie.com/apps/google-play/app/com.supercell.clashroyale/details/
Lotsa Slots - Free Vegas Casino Slot Machines,58,69,Bole Games,https://www.appannie.com/apps/google-play/app/com.diamondlife.slots.vegas.free/details/
Star Wars™: Galaxy of Heroes,59,70,Electronic Arts,https://www.appannie.com/apps/google-play/app/com.ea.game.starwarscapital_row/details/
Hero Wars – Hero Fantasy Multiplayer Battles,60,73,Nexters,https://www.appannie.com/apps/google-play/app/com.nexters.herowars/details/
Lily’s Garden,61,74,Tactile Games,https://www.appannie.com/apps/google-play/app/dk.tactile.lilysgarden/details/
Design Home: House Renovation,62,72,Crowdstar,https://www.appannie.com/apps/google-play/app/com.crowdstar.covetHome/details/
Solitaire - Grand Harvest - Tripeaks,63,75,Supertreat,https://www.appannie.com/apps/google-play/app/net.supertreat.solitaire/details/
Game of Sultans,64,79,Mechanist,https://www.appannie.com/apps/google-play/app/com.dc.hwsj/details/
Best Fiends - Free Puzzle Game,65,76,Seriously Digital Entertainment,https://www.appannie.com/apps/google-play/app/com.Seriously.BestFiends/details/
Arknights,66,77,Yostar,https://www.appannie.com/apps/google-play/app/com.YoStarEN.Arknights/details/
Caesars Casino: Free Slots Games,68,78,Playtika,https://www.appannie.com/apps/google-play/app/com.playtika.caesarscasino/details/
Big Fish Casino – Slot Machines & Huge Rewards,70,80,Big Fish Games,https://www.appannie.com/apps/google-play/app/com.selfawaregames.acecasino/details/
CSR Racing 2 - #1 in Car Racing Games,71,81,NaturalMotion,https://www.appannie.com/apps/google-play/app/com.naturalmotion.customstreetracer2/details/
Lightning Link Casino: Free Vegas Slots! 10M Bonus,72,82,Product Madness,https://www.appannie.com/apps/google-play/app/com.productmadness.lightninglink/details/
Epic Seven,73,84,Smilegate Megaport,https://www.appannie.com/apps/google-play/app/com.stove.epic7.google/details/
YAHTZEE® With Buddies Dice Game,74,85,Scopely,https://www.appannie.com/apps/google-play/app/com.scopely.yux/details/
Fate/Grand Order (English),75,86,Aniplex,https://www.appannie.com/apps/google-play/app/com.aniplex.fategrandorder.en/details/
MARVEL Future Fight,76,88,Netmarble,https://www.appannie.com/apps/google-play/app/com.netmarble.mherosgb/details/
Chapters: Interactive Stories,80,90,ChineseAll,https://www.appannie.com/apps/google-play/app/com.mars.avgchapters/details/
Harry Potter: Hogwarts Mystery,82,92,Jam City,https://www.appannie.com/apps/google-play/app/com.tinyco.potter/details/
June's Journey - Hidden Objects,85,96,Wooga,https://www.appannie.com/apps/google-play/app/net.wooga.junes_journey_hidden_object_mystery_game/details/
War and Order,87,98,Camel Games,https://www.appannie.com/apps/google-play/app/com.camelgames.superking/details/
Quick Hit Casino Games - Free Casino Slots Games,89,100,Scientific Games,https://www.appannie.com/apps/google-play/app/com.ballytechnologies.quickhitslots/details/
Merge Magic!,92,102,Gram Games,https://www.appannie.com/apps/google-play/app/com.gramgames.mergemagic/details/
Golf Rival,93,103,GR Sports Club,https://www.appannie.com/apps/google-play/app/com.sports.real.golf.rival.online/details/
Exos Heroes,94,109,LINE Games,https://www.appannie.com/apps/google-play/app/com.linegames.exos/details/
"Tagged - Meet, Chat & Dating",124,135,Ifwe,https://www.appannie.com/apps/google-play/app/com.taggedapp/details/
星城Online,129,161,Wanin,https://www.appannie.com/apps/google-play/app/game.xin.hd.g/details/
Black Desert Mobile,134,144,Pearl Abyss,https://www.appannie.com/apps/google-play/app/com.pearlabyss.blackdesertm.gl/details/
Vikings: War of Clans,163,189,Plarium,https://www.appannie.com/apps/google-play/app/com.plarium.vikings/details/
Vanguard ZERO,183,195,Bushiroad,https://www.appannie.com/apps/google-play/app/com.bushiroad.en.vgzero/details/
