Name,New Rank,Old Rank,Company,Link
Lucky Win Scratch – Win Real Money for Free,42,55,Lucky Win Scratch,https://www.appannie.com/apps/google-play/app/com.money.luckywinscratch/details/
Cartoona Photo Editor,55,67,Creative Bits,https://www.appannie.com/apps/google-play/app/com.cartoona/details/
Honda FCU Mobile,60,97,Honda Federal Credit Union,https://www.appannie.com/apps/google-play/app/com.hondafederalcreditunion4120.mobile/details/
Lucky Plinko 2,63,73,Shapekeeper,https://www.appannie.com/apps/google-play/app/com.iw.android.luckyplinko2/details/
Funny Voice - Make your voice more interesting.,70,99,Juan Upchurch,https://www.appannie.com/apps/google-play/app/com.funny.voice/details/
ParentsKit,77,128,Jet Applications,https://www.appannie.com/apps/google-play/app/com.parentskit.app/details/
Speed Booster,82,117,Flex E App,https://www.appannie.com/apps/google-play/app/com.speedbooster.trashclean.phoneboost.speedmaster.cpu.cool.accelerator.battery.cachecleaner/details/
Weather Radar Free — Live Maps & Alerts,83,100,SmarTeam,https://www.appannie.com/apps/google-play/app/weatherradar.livemaps.free/details/
Mythical Society,86,113,Mythical Entertainment,https://www.appannie.com/apps/google-play/app/com.mythicalsociety.app/details/
MVEC Connect,87,98,Apposity.com,https://www.appannie.com/apps/google-play/app/com.apposity.emc019/details/
FireGirls,91,127,IgorDevApps,https://www.appannie.com/apps/google-play/app/com.firegirls.me/details/
Fishing Tycoon,106,119,Kendick.inc,https://www.appannie.com/apps/google-play/app/com.game.fishing.tycoon.new.fun/details/
maybe: Interactive Stories,112,137,Cinamon,https://www.appannie.com/apps/google-play/app/com.cinamongames.maybegv/details/
Diana and Roma - Funny Stories,115,157,Nyu's Developer,https://www.appannie.com/apps/google-play/app/com.NyusDev.DianaandRomaFunnyStories/details/
Slingshot Wreck,120,139,Azur Interactive Games,https://www.appannie.com/apps/google-play/app/slingshot.building.destroy/details/
Parker's Rewards,127,166,Parkers Admin,https://www.appannie.com/apps/google-play/app/com.paytronix.parkers/details/
Rainbow Slots -Free Casino Las Vegas slot machines,135,147,777Loot - BIG Win Slot machine poker Casino Games,https://www.appannie.com/apps/google-play/app/com.WildLoots.RainBowSlots/details/
Video Leap - Video Editor with Music,139,160,foapp,https://www.appannie.com/apps/google-play/app/com.leapvideo.videoeditor.videomaker.videopro.leap/details/
Device Pulse,142,169,TracFone Wireless,https://www.appannie.com/apps/google-play/app/com.tracfone.preload.accountservices/details/
Straw Hats,151,165,Ext Studio,https://www.appannie.com/apps/google-play/app/com.extstudio.sh/details/
Procreate Lite Sketching,156,188,LazyDog Game,https://www.appannie.com/apps/google-play/app/com.procreator.lite/details/
LNG Cleaner,164,181,BroFin Studio,https://www.appannie.com/apps/google-play/app/gguc.vote.pac.hrty.cntc/details/
Get Profile Pics Followers Will Likes for You,165,185,Developer AEY,https://www.appannie.com/apps/google-play/app/com.awesome.profile.avatar/details/
Expedite Cleaner S,167,182,Eric Shock,https://www.appannie.com/apps/google-play/app/qnog.d11.bett.ynnr.turne/details/
Scary Piggy Roblx obby Mod,172,196,KYR,https://www.appannie.com/apps/google-play/app/com.piggy.grannyroblox.grandma/details/
Bubble Shooter,177,187,Jianxiong,https://www.appannie.com/apps/google-play/app/com.lyd.bubble/details/
Escape game:home town adventure 2,179,198,Atlas One,https://www.appannie.com/apps/google-play/app/com.coldapp.hometownadventure2/details/
