Rank,Name,Company,Link
Solitaire Deluxe® 2,242,Mobile Deluxe,https://www.appannie.com/apps/ios/app/solitaire-deluxe-social-classic/details/
Garena Free Fire: Rampage,244,Garena Online,https://www.appannie.com/apps/ios/app/free-fire-battle-royale/details/
Temple Run,351,Imangi,https://www.appannie.com/apps/ios/app/temple-run/details/
Temple Run 2,386,Imangi,https://www.appannie.com/apps/ios/app/temple-run-2/details/
Crayon Epoxy,445,Gameguru,https://www.appannie.com/apps/ios/app/crayon-epoxy/details/
Remote for Fire Stick TV App,451,Mobile Security Labs,https://www.appannie.com/apps/ios/app/remote-for-fire-stick-tv-app/details/
Amazon Photos,453,Amazon,https://www.appannie.com/apps/ios/app/amazon-photos-cloud-drive-storage-backup-and-photo-sharing/details/
Piano Tiles 2™ - Piano Game,459,Cheetah Mobile,https://www.appannie.com/apps/ios/app/piano-tairu-2buratsukutairuwotatake-2/details/
Taco Bell,467,Taco Bell,https://www.appannie.com/apps/ios/app/taco-bell/details/
Co–Star Personalized Astrology,471,Co-Star Astrology Society,https://www.appannie.com/apps/ios/app/co-star/details/
Google Play Movies & TV,473,Google,https://www.appannie.com/apps/ios/app/google-play-movies-tv/details/
Idle Lumberjack 3D,474,Voodoo,https://www.appannie.com/apps/ios/app/magic-woods/details/
Super Slime Simulator,475,Dramaton,https://www.appannie.com/apps/ios/app/super-slime-simulator/details/
Relax：Master your destiny,480,Gomo,https://www.appannie.com/apps/ios/app/relax-meditation-deep-sleep/details/
Toon Blast,482,Peak,https://www.appannie.com/apps/ios/app/toon-blast/details/
Gacha Life,483,Lunime,https://www.appannie.com/apps/ios/app/gacha-life/details/
Babbel – Learn Languages,484,Babbel,https://www.appannie.com/apps/ios/app/learn-spanish-english-french-italian-german-and-many-more-languages-with-babbel/details/
Viamaker,485,Miantan,https://www.appannie.com/apps/ios/app/viamaker/details/
Official Trump 2020 App,487,DonaldJTrump For President,https://www.appannie.com/apps/ios/app/america-first/details/
Block! Triangle puzzle:Tangram,490,BitMango,https://www.appannie.com/apps/ios/app/block-triangle-puzzle-tangram/details/
Rave – Watch Together,492,"Rave Media, Inc.",https://www.appannie.com/apps/ios/app/wemesh/details/
Soap Cutting,495,Crazy Labs,https://www.appannie.com/apps/ios/app/soap-cutting/details/
Asphalt 9: Legends,496,Gameloft,https://www.appannie.com/apps/ios/app/asphalt-9-legends/details/
MyRadar Weather Radar,497,ACME AtronOmatic,https://www.appannie.com/apps/ios/app/myradar-weather-radar-forecast/details/
