Name,New Rank,Old Rank,Company,Link
Hide 'N Seek!,38,48,Supersonic,https://www.appannie.com/apps/ios/app/hide-n-seek-3/details/
Fortnite,49,59,Epic Games,https://www.appannie.com/apps/ios/app/fortnite/details/
Robinhood: Invest. Save. Earn.,58,82,Robinhood,https://www.appannie.com/apps/ios/app/robinhood-free-stock-trading/details/
Twitch: Live Game Streaming,61,71,Twitch Interactive,https://www.appannie.com/apps/ios/app/460177396/details/
Super Sniper!,68,199,Voodoo,https://www.appannie.com/apps/ios/app/super-sniper/details/
Tower Run - Grow Your Tower,70,80,Voodoo,https://www.appannie.com/apps/ios/app/tower-run-grow-your-tower/details/
YOLO: Anonymous Q&A,73,98,Popshow,https://www.appannie.com/apps/ios/app/yolo-anonymous-questions/details/
Pluto TV - Live TV and Movies,74,107,Pluto.tv,https://www.appannie.com/apps/ios/app/pluto-tv-tv-for-the-internet/details/
Love Pins,83,194,Supersonic,https://www.appannie.com/apps/ios/app/love-pins/details/
Enlight Videoleap Video Editor,84,113,Lightricks,https://www.appannie.com/apps/ios/app/enlight-videoleap/details/
Magic Tiles 3: Piano Game,86,97,Amanotes,https://www.appannie.com/apps/ios/app/magic-tiles-3-piano-game/details/
Simple: Fasting & Meal Tracker,87,130,AM APPS,https://www.appannie.com/apps/ios/app/simple-fasting-diet-app/details/
Target,95,105,Target,https://www.appannie.com/apps/ios/app/target-2-3/details/
GUU: Debate Politics & Shop,96,236,Goods Unite Us Inc.,https://www.appannie.com/apps/ios/app/goods-unite-us/details/
UNO!™,101,114,Mattel163,https://www.appannie.com/apps/ios/app/unotm/details/
Bead Sort,105,148,Supersonic,https://www.appannie.com/apps/ios/app/bead-sort/details/
ArtWall: Keyboards&Wallpapers,108,154,GM UNICORN CORPORATION LIMITED,https://www.appannie.com/apps/ios/app/artwall-2/details/
Airbnb,109,123,Airbnb,https://www.appannie.com/apps/ios/app/airbnb/details/
Mercari: The Selling App,113,165,Mercari,https://www.appannie.com/apps/ios/app/mercari-anyone-can-buy-sell/details/
Tubi - Watch Movies & TV Shows,114,129,Tubi,https://www.appannie.com/apps/ios/app/tubi-tv-watch-free-movies/details/
Xbox,115,137,Microsoft,https://www.appannie.com/apps/ios/app/xbox-one-smartglass/details/
CyberGhost VPN & WiFi Proxy,116,163,CyberGhost,https://www.appannie.com/apps/ios/app/cyberghost-vpn-hotspot-protection/details/
Airtime: Watch Together,122,157,Airtime,https://www.appannie.com/apps/ios/app/signal-one-tap-video-chat/details/
Musi - Simple Music Streaming,124,141,Musi,https://www.appannie.com/apps/ios/app/musi-unlimited-free-music/details/
Bitmoji,138,162,Bitstrips,https://www.appannie.com/apps/ios/app/bitmoji-keyboard-your-avatar/details/
ROMWE - Fashion Store,140,153,Shein,https://www.appannie.com/apps/ios/app/romwe-shopping-fashion-clothing-for-women/details/
Google Home,144,193,Google,https://www.appannie.com/apps/ios/app/chromecast/details/
Houseparty,151,192,Life on Air,https://www.appannie.com/apps/ios/app/houseparty-live-group-video/details/
Amazon Alexa,158,180,Amazon,https://www.appannie.com/apps/ios/app/amazon-echo/details/
Sniper 3D: Gun Shooting Games,164,200,Wildlife Studios,https://www.appannie.com/apps/ios/app/sniper-3d-assassin-shoot-to/details/
"Yelp Food, Delivery & Services",166,184,Yelp,https://www.appannie.com/apps/ios/app/284910350/details/
Nike,169,185,Nike,https://www.appannie.com/apps/ios/app/1095459556/details/
Rokie - Roku Remote,174,191,Kraftwerk 9,https://www.appannie.com/apps/ios/app/rokie-remote-for-roku-touchpad/details/
PlayStation App,178,202,Sony,https://www.appannie.com/apps/ios/app/playstation-app/details/
Domino's Pizza USA,179,252,Domino's Pizza,https://www.appannie.com/apps/ios/app/dominos-pizza-usa/details/
Postmates - Food Delivery,183,213,Postmates,https://www.appannie.com/apps/ios/app/postmates/details/
Weather - The Weather Channel,184,205,The Weather Company,https://www.appannie.com/apps/ios/app/the-weather-channel-and-weathercom-local-forecasts-radar-and-storm-tracking/details/
Triller: Social Video Platform,186,227,Triller,https://www.appannie.com/apps/ios/app/triller-music-video-maker/details/
Etsy: Custom & Creative Goods,189,204,Etsy,https://www.appannie.com/apps/ios/app/477128284/details/
Tiles Hop - EDM Rush,193,203,Amanotes,https://www.appannie.com/apps/ios/app/beat-hopper/details/
Bungeet!,194,215,Voodoo,https://www.appannie.com/apps/ios/app/bungeet/details/
Hole.io,195,208,Voodoo,https://www.appannie.com/apps/ios/app/hole-io/details/
Funimate Video Musical Editor,197,222,Avcr,https://www.appannie.com/apps/ios/app/funimate-music-video-editor/details/
Fashion Nova,199,229,Fashion Nova,https://www.appannie.com/apps/ios/app/fashion-nova-2/details/
Splice - Video Editor & Maker,204,239,Bending Spoons,https://www.appannie.com/apps/ios/app/splice-video-editor-and-photo-slideshow-maker/details/
InShot - Video Editor,208,219,InShot Inc,https://www.appannie.com/apps/ios/app/instashot-no-crop-video-editor/details/
Shazam: Music Discovery,213,246,Shazam Entertainment,https://www.appannie.com/apps/ios/app/shazam/details/
The Cook,218,275,SayGames,https://www.appannie.com/apps/ios/app/the-cook/details/
Ringtones for iPhone!,221,245,Ringtones Ltd,https://www.appannie.com/apps/ios/app/ringtones-for-iphone-free-3/details/
LinkedIn: Network & Job Finder,222,243,Linkedin,https://www.appannie.com/apps/ios/app/linkedin/details/
Poshmark: Buy & Sell Fashion,227,253,Poshmark,https://www.appannie.com/apps/ios/app/poshmark-buy-sell-fashion/details/
NOAA Weather Radar Live,228,254,Apalon,https://www.appannie.com/apps/ios/app/noaa-weather-radar-live-doppler-radars-with-national-weather-forecast-maps/details/
Drum Pad Machine - Beat Maker,230,258,Easybrain,https://www.appannie.com/apps/ios/app/drum-pad-machine/details/
Bumble: Matches. Chats. Dating,231,263,Bumble,https://www.appannie.com/apps/ios/app/bumble-app/details/
Ring - Always Home,233,270,Ring.com,https://www.appannie.com/apps/ios/app/ring-video-doorbell/details/
