Rank,Name,Company,Link
Garena Free Fire: Rampage,35,Garena Online,https://www.appannie.com/apps/ios/app/free-fire-battle-royale/details/
Bingo Pop - Bingo Games,232,Jam City,https://www.appannie.com/apps/ios/app/bingo-pop/details/
MasterClass: Learn New Skills,373,MasterClass,https://www.appannie.com/apps/ios/app/masterclass-online-classes/details/
Idle Miner Tycoon: Gold & Cash,376,Kolibri Games,https://www.appannie.com/apps/ios/app/idle-miner-tycoon/details/
Rondevo - Dating & Chat App,378,SOCIALITY,https://www.appannie.com/apps/ios/app/rondevo-dating-chat-app/details/
Breethe: Meditation & Sleep,403,Breethe,https://www.appannie.com/apps/ios/app/omg-i-can-meditate-meditation-and-mindfulness-made-easy/details/
My Home - Design Dreams,417,Zenjoy,https://www.appannie.com/apps/ios/app/my-home-design-dreams/details/
Hollywood Story: Fashion Star,423,Nanobit,https://www.appannie.com/apps/ios/app/hollywood-story/details/
Pirates of the Caribbean : ToW,435,Joycity,https://www.appannie.com/apps/ios/app/pirates-of-the-caribbean-tides-of-war/details/
Genies & Gems: Puzzle & Quests,439,Jam City,https://www.appannie.com/apps/ios/app/genies-and-gems/details/
Hempire - Weed Growing Game,448,LBC Studios,https://www.appannie.com/apps/ios/app/hempire/details/
Club Vegas Slots: Casino 2020,450,Bagelcode,https://www.appannie.com/apps/ios/app/spin-it-vegas/details/
Neverland Casino - Slots Games,459,Wgames,https://www.appannie.com/apps/ios/app/neverland-casino/details/
Pray.com Prayer & Sleep Bible,461,Pray,https://www.appannie.com/apps/ios/app/pray-com/details/
Life Advisor: Personal Test,462,Springfushi,https://www.appannie.com/apps/ios/app/life-advisor-self-test/details/
Bubble Pop! Puzzle Game Legend,463,BitMango,https://www.appannie.com/apps/ios/app/bubble-pop-shoot-bubbles/details/
Taptap Heroes - Idle RPG,465,Ajoy,https://www.appannie.com/apps/ios/app/taptap-heroes-idle-rpg/details/
Gin Rummy Plus - Card Game,466,Zynga,https://www.appannie.com/apps/ios/app/gin-rummy-plus-free-online-card-game/details/
Followers Track for Instagram!,468,Component Studios,https://www.appannie.com/apps/ios/app/followers-for-instagram-get/details/
Mature Dating Network,474,Cupid PLC,https://www.appannie.com/apps/ios/app/maturedating-dating-app-for/details/
Word Stacks,478,PeopleFun,https://www.appannie.com/apps/ios/app/word-stacks-2/details/
Galaxy Attack: Alien Shooter,479,OneSoft,https://www.appannie.com/apps/ios/app/galaxy-attack-alien-shooter/details/
Cat Game - The Cats Collector!,482,Mino Games,https://www.appannie.com/apps/ios/app/cat-game-the-cat-collector/details/
Royal Chaos,484,Friend Times,https://www.appannie.com/apps/ios/app/e786b9e5a683qe4bca0-e59bbde99985e78988/details/
Legend of the phoenix,485,Duige,https://www.appannie.com/apps/ios/app/legend-of-the-phoenix/details/
American Dad! Apocalypse Soon,487,MY.COM,https://www.appannie.com/apps/ios/app/american-dad-apocalypse-soon/details/
Rebel Racing,488,Hutch,https://www.appannie.com/apps/ios/app/rebel-racing-2/details/
Impulse - Brain Training Games,490,Atom Applications,https://www.appannie.com/apps/ios/app/impulse-brain-training/details/
Left to Survive: Zombie Games,491,MY.COM,https://www.appannie.com/apps/ios/app/last-day-alive/details/
Golden Casino - Vegas Slots,492,Slots Limited,https://www.appannie.com/apps/ios/app/golden-casino/details/
Love Sick: Interactive Stories,493,Swag Masha,https://www.appannie.com/apps/ios/app/love-sick-love-episodes/details/
Hotel Hideaway: Virtual World,494,Sulake,https://www.appannie.com/apps/ios/app/hotel-hideaway-social-avatar-adventure-meet-friends-chat-party-and-role-play/details/
Age of Magic: Turn-Based RPG,495,Playkot,https://www.appannie.com/apps/ios/app/1175370741/details/
My Singing Monsters,498,Big Blue Bubble,https://www.appannie.com/apps/ios/app/my-singing-monsters/details/
Slots DoubleDown Fort Knox,499,Double Down Interactive,https://www.appannie.com/apps/ios/app/doubledown-fort-knox-slots/details/
