Name,New Rank,Old Rank,Company,Link
Pokémon GO,5,20,Niantic,https://www.appannie.com/apps/ios/app/pokemon-go/details/
Last Shelter: Survival,45,96,Long Tech Network,https://www.appannie.com/apps/ios/app/last-shelter-survival/details/
TikTok - Make Your Day,47,79,TikTok Inc,https://www.appannie.com/apps/ios/app/musically-add-music-sound/details/
King of Avalon: Dragon Warfare,52,64,FunPlus,https://www.appannie.com/apps/ios/app/1084930849/details/
World Series of Poker - WSOP,56,66,Playtika,https://www.appannie.com/apps/ios/app/world-series-poker-wsop-texas/details/
Choices: Stories You Play,57,88,Pixelberry,https://www.appannie.com/apps/ios/app/choices-stories-you-play/details/
Lightning Link Slots-Casino,65,76,Product Madness,https://www.appannie.com/apps/ios/app/lightning-link-casino/details/
Facebook,67,77,Facebook,https://www.appannie.com/apps/ios/app/facebook/details/
MLB Tap Sports Baseball 2020,77,91,Glu,https://www.appannie.com/apps/ios/app/mlb-tap-sports-baseball-2020/details/
DoubleU Casino: Vegas Slots,78,90,DoubleU,https://www.appannie.com/apps/ios/app/doubleucasino/details/
Lily’s Garden: Design & Relax,82,92,Tactile Games,https://www.appannie.com/apps/ios/app/lilys-garden/details/
Property Brothers Home Design,83,99,Storm8,https://www.appannie.com/apps/ios/app/property-brothers-home-design-2/details/
Thug Life Game,86,109,Chobolabs,https://www.appannie.com/apps/ios/app/thug-life-game/details/
Star Wars™: Galaxy of Heroes,87,98,Electronic Arts,https://www.appannie.com/apps/ios/app/star-warstm-galaxy-of-heroes/details/
Wizard of Oz: Casino Slots,90,139,Zynga,https://www.appannie.com/apps/ios/app/wizard-of-oz-slots-free-casino/details/
Best Fiends - Puzzle Adventure,93,104,Seriously Digital Entertainment,https://www.appannie.com/apps/ios/app/best-fiends/details/
Caesars® Casino: Vegas Slots,94,107,Playtika,https://www.appannie.com/apps/ios/app/caesars-slots/details/
8 Ball Pool™,96,108,Miniclip,https://www.appannie.com/apps/ios/app/8-ball-pooltm/details/
myVEGAS Slots – Casino Slots,98,138,PlayStudios,https://www.appannie.com/apps/ios/app/myvegas-slots-free-las-vegas/details/
Age of Z,102,135,Camel Games,https://www.appannie.com/apps/ios/app/age-of-z/details/
Solitaire TriPeaks Card Game,105,116,Game Show Network,https://www.appannie.com/apps/ios/app/solitaire-tripeaks-classic/details/
Lotsa Slots: Casino SLOTS,107,120,Bole Games,https://www.appannie.com/apps/ios/app/diamond-spin-casino-slots/details/
WEBTOON - Find Yours,108,126,NAVER,https://www.appannie.com/apps/ios/app/line-webtoon/details/
Epic Seven,111,210,Smilegate Megaport,https://www.appannie.com/apps/ios/app/epigsebeun/details/
Match™ - #1 Dating App,116,148,Match Group,https://www.appannie.com/apps/ios/app/match-dating-app-to-flirt/details/
Hit it Rich! Casino Slots Game,119,202,Zynga,https://www.appannie.com/apps/ios/app/hit-it-rich-free-casino-slots/details/
War Dragons,124,281,Pocket Gems,https://www.appannie.com/apps/ios/app/war-dragons/details/
Angry Birds 2,131,144,Rovio,https://www.appannie.com/apps/ios/app/angry-birds-under-pigstruction/details/
my KONAMI - Real Vegas Slots,133,147,PlayStudios,https://www.appannie.com/apps/ios/app/konami-slots-play-free-vegas-casino-slot-machines-and-more/details/
Farm Heroes Saga,137,151,King,https://www.appannie.com/apps/ios/app/farm-heroes-saga-2/details/
Tango - Live Video Broadcasts,138,156,TangoMe,https://www.appannie.com/apps/ios/app/tango-free-video-call-voice/details/
Scatter Slots - Vegas Casino,140,171,Murka,https://www.appannie.com/apps/ios/app/scatter-slots/details/
Gold Fish Casino Slots Games,142,173,Williams Interactive,https://www.appannie.com/apps/ios/app/gold-fish-casino-slots/details/
Dragon Raja,143,168,Archosaur Games,https://www.appannie.com/apps/ios/app/dragon-raja-2/details/
Tabou Stories: Love Episodes,145,159,Nanobit,https://www.appannie.com/apps/ios/app/taboo-interactive-stories/details/
Sniper 3D: Gun Shooting Games,151,169,Wildlife Studios,https://www.appannie.com/apps/ios/app/sniper-3d-assassin-shoot-to/details/
Yubo: Find Friends Livestream,152,164,Twelve APP,https://www.appannie.com/apps/ios/app/yellow-make-friends-for-snapchat/details/
Home Design Makeover,154,174,Storm8,https://www.appannie.com/apps/ios/app/home-design-makeover-2/details/
Clockmaker.,157,172,Samfinaco,https://www.appannie.com/apps/ios/app/clockmaker-amazing-match3/details/
The Sims™ FreePlay,160,170,Electronic Arts,https://www.appannie.com/apps/ios/app/the-simstm-freeplay/details/
Avakin Life – 3D Virtual World,162,198,Lockwood Publishing,https://www.appannie.com/apps/ios/app/avakin-life/details/
