Name,New Rank,Old Rank,Company,Link
Stardew Valley,41,59,Chucklefish,https://www.appannie.com/apps/ios/app/stardew-valley/details/
Toca Kitchen 2,47,57,Toca Boca,https://www.appannie.com/apps/ios/app/toca-kitchen-2/details/
Star Walk 2 - Night Sky Map,53,90,VitoTech,https://www.appannie.com/apps/ios/app/star-walk-2-guide-to-night/details/
Toca Hair Salon 3,56,91,Toca Boca,https://www.appannie.com/apps/ios/app/toca-hair-salon-3/details/
Mirror for Samsung TV,57,76,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-samsung-tv/details/
FiLMiC Pro－Video Camera,58,87,FiLMiC,https://www.appannie.com/apps/ios/app/filmic-pro-2-3/details/
Mirror for Roku - AirBeamTV,62,72,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-roku/details/
Screen Mirroring+ for Roku,65,78,2kit Consulting,https://www.appannie.com/apps/ios/app/tv-mirror-for-roku-mirroring/details/
FNaF 6: Pizzeria Simulator,66,77,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/fnaf-6-pizzeria-simulator/details/
Lowriders Comeback 2: Cruising,68,79,Anton Lebed,https://www.appannie.com/apps/ios/app/lowriders-comeback-2-cruising/details/
Pocket Build,71,94,MoonBear,https://www.appannie.com/apps/ios/app/pocket-build/details/
Earn to Die 2,75,85,Not Doppler,https://www.appannie.com/apps/ios/app/earn-to-die-2/details/
Flick Home Run !,78,92,Infinity Pocket,https://www.appannie.com/apps/ios/app/flick-home-run-!/details/
Hitman Sniper,83,97,SQUARE ENIX,https://www.appannie.com/apps/ios/app/hitman-sniper/details/
Subwords,87,131,Klemens Strasser,https://www.appannie.com/apps/ios/app/subwords/details/
Papa's Burgeria To Go!,90,102,Flipline,https://www.appannie.com/apps/ios/app/papas-burgeria-to-go/details/
Street Kart Racing,95,134,Fat Cigar Productions,https://www.appannie.com/apps/ios/app/street-kart-racing/details/
Notability,96,119,GingerLabs,https://www.appannie.com/apps/ios/app/notability/details/
Papa's Scooperia To Go!,97,114,Flipline,https://www.appannie.com/apps/ios/app/papas-scooperia-to-go/details/
Grand Theft Auto III,98,129,Rockstar Games,https://www.appannie.com/apps/ios/app/grand-theft-auto-iii/details/
Heads Up! Kids,101,165,Warner Bros,https://www.appannie.com/apps/ios/app/heads-up-pictures/details/
Necrophonic,106,126,chris rogers,https://www.appannie.com/apps/ios/app/necrophonic/details/
AnyFont,110,127,Florian Schimanke,https://www.appannie.com/apps/ios/app/anyfont/details/
Dirt Trackin 2,113,146,Bennett Racing Simulations,https://www.appannie.com/apps/ios/app/dirt-trackin-2/details/
Bendy and the Ink Machine,114,130,Joey Drew,https://www.appannie.com/apps/ios/app/bendy-and-the-ink-machine-2/details/
Danganronpa: Trigger Happy Hav,116,132,Spike Chunsoft,https://www.appannie.com/apps/ios/app/danganronpa-trigger-happy-hav/details/
RadarScope,117,153,Base Velocity,https://www.appannie.com/apps/ios/app/radarscope/details/
iNavX: Marine Navigation,121,137,GPSNavX,https://www.appannie.com/apps/ios/app/inavx-marine-navigation/details/
Tiny Scanner Plus,122,138,Appxy,https://www.appannie.com/apps/ios/app/tinyscan-pro-pdf-scanner-to/details/
Tiny Beat,123,154,Mirko Trkulja,https://www.appannie.com/apps/ios/app/tiny-beat-2/details/
Find My Bluetooth Device,124,140,Mehdi Amiri,https://www.appannie.com/apps/ios/app/find-my-bluetooth-earbuds/details/
Find My Headphones & Earbuds,128,172,Bickster Studios,https://www.appannie.com/apps/ios/app/find-my-headphones-headset/details/
Rusty Lake Hotel,129,160,LoyaltyGame,https://www.appannie.com/apps/ios/app/rusty-lake-hotel/details/
Monarchia,131,151,Fatih Beceren,https://www.appannie.com/apps/ios/app/monarchia/details/
ProCam 7,133,150,Samer Azzam,https://www.appannie.com/apps/ios/app/procam-2-camera-and-photo-video-editor/details/
StaffLinQ,134,203,ROSnet,https://www.appannie.com/apps/ios/app/stafflinq/details/
Incredibox,135,205,So Far So Good,https://www.appannie.com/apps/ios/app/incredibox/details/
Game of Life Value Pack,139,187,Marmalade,https://www.appannie.com/apps/ios/app/the-game-of-life-bundle/details/
Monash University FODMAP diet,141,156,Monash University,https://www.appannie.com/apps/ios/app/monash-university-low-fodmap/details/
Skater - Skate Legendary Spots,147,169,Frosch,https://www.appannie.com/apps/ios/app/skater-2/details/
Papa's Taco Mia To Go!,148,223,Flipline,https://www.appannie.com/apps/ios/app/papas-taco-mia-to-go/details/
Insaniquarium! Deluxe,149,234,Bringlife,https://www.appannie.com/apps/ios/app/insaniquarium-deluxe/details/
Doodle God™,151,182,JoyBits,https://www.appannie.com/apps/ios/app/doodle-god/details/
Papa's Pancakeria To Go!,153,176,Flipline,https://www.appannie.com/apps/ios/app/papas-pancakeria-to-go/details/
