Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/ios/app/minecraft-pocket-edition/details/
2,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-6/details/
3,"YouTube: Watch, Listen, Stream",Google,https://www.appannie.com/apps/ios/app/youtube/details/
4,Roblox,Roblox,https://www.appannie.com/apps/ios/app/roblox-mobile/details/
5,Tinder,Match Group,https://www.appannie.com/apps/ios/app/tinder/details/
6,Clash of Clans,Supercell,https://www.appannie.com/apps/ios/app/clash-of-clans/details/
7,Pandora: Music & Podcasts,Pandora,https://www.appannie.com/apps/ios/app/pandora-radio/details/
8,Fortnite,Epic Games,https://www.appannie.com/apps/ios/app/fortnite/details/
9,Coin Master,Moon Active,https://www.appannie.com/apps/ios/app/coin-master/details/
10,Candy Crush Saga,King,https://www.appannie.com/apps/ios/app/candy-crush-saga/details/
11,Disney+,Disney,https://www.appannie.com/apps/ios/app/disney-2/details/
12,Hulu: Stream TV shows & movies,Hulu,https://www.appannie.com/apps/ios/app/hulu-plus/details/
13,Netflix,Netflix,https://www.appannie.com/apps/ios/app/netflix/details/
14,DRAGON BALL LEGENDS,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/ios/app/dragon-ball-legends/details/
15,Bumble: Matches. Chats. Dating,Bumble,https://www.appannie.com/apps/ios/app/bumble-app/details/
16,HBO Max: Stream TV & Movies,Warner Media,https://www.appannie.com/apps/ios/app/hbo-now/details/
17,Fate/Grand Order (English),Aniplex,https://www.appannie.com/apps/ios/app/fategrand-order-english/details/
18,Gardenscapes,Playrix,https://www.appannie.com/apps/ios/app/gardenscapes-new-acres-2/details/
19,Homescapes,Playrix,https://www.appannie.com/apps/ios/app/homescapes/details/
20,Pokémon GO,Niantic,https://www.appannie.com/apps/ios/app/pokemon-go/details/
21,PUBG MOBILE - Mad Miramar,Tencent,https://www.appannie.com/apps/ios/app/pubg-mobile/details/
22,Toon Blast,Peak,https://www.appannie.com/apps/ios/app/toon-blast/details/
23,YouTube Music,Google,https://www.appannie.com/apps/ios/app/youtube-music/details/
24,Clash Royale,Supercell,https://www.appannie.com/apps/ios/app/clash-royale/details/
25,"BIGO LIVE-Live Stream, Go Live",BIGO,https://www.appannie.com/apps/ios/app/bigo-live/details/
