Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/ios/app/minecraft-pocket-edition/details/
2,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-6/details/
3,"YouTube: Watch, Listen, Stream",Google,https://www.appannie.com/apps/ios/app/youtube/details/
4,Roblox,Roblox,https://www.appannie.com/apps/ios/app/roblox-mobile/details/
5,Pokémon GO,Niantic,https://www.appannie.com/apps/ios/app/pokemon-go/details/
6,Tinder,Match Group,https://www.appannie.com/apps/ios/app/tinder/details/
7,Coin Master,Moon Active,https://www.appannie.com/apps/ios/app/coin-master/details/
8,Fortnite,Epic Games,https://www.appannie.com/apps/ios/app/fortnite/details/
9,Candy Crush Saga,King,https://www.appannie.com/apps/ios/app/candy-crush-saga/details/
10,Clash of Clans,Supercell,https://www.appannie.com/apps/ios/app/clash-of-clans/details/
11,Pandora: Music & Podcasts,Pandora,https://www.appannie.com/apps/ios/app/pandora-radio/details/
12,DRAGON BALL LEGENDS,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/ios/app/dragon-ball-legends/details/
13,Bumble: Matches. Chats. Dating,Bumble,https://www.appannie.com/apps/ios/app/bumble-app/details/
14,Gardenscapes,Playrix,https://www.appannie.com/apps/ios/app/gardenscapes-new-acres-2/details/
15,Disney+,Disney,https://www.appannie.com/apps/ios/app/disney-2/details/
16,Netflix,Netflix,https://www.appannie.com/apps/ios/app/netflix/details/
17,Hulu: Stream TV shows & movies,Hulu,https://www.appannie.com/apps/ios/app/hulu-plus/details/
18,Homescapes,Playrix,https://www.appannie.com/apps/ios/app/homescapes/details/
19,Toon Blast,Peak,https://www.appannie.com/apps/ios/app/toon-blast/details/
20,Twitch: Live Game Streaming,Twitch Interactive,https://www.appannie.com/apps/ios/app/460177396/details/
21,"BIGO LIVE-Live Stream, Go Live",BIGO,https://www.appannie.com/apps/ios/app/bigo-live/details/
22,PUBG MOBILE - Mad Miramar,Tencent,https://www.appannie.com/apps/ios/app/pubg-mobile/details/
23,Fate/Grand Order (English),Aniplex,https://www.appannie.com/apps/ios/app/fategrand-order-english/details/
24,HBO Max: Stream TV & Movies,Warner Media,https://www.appannie.com/apps/ios/app/hbo-now/details/
25,Fishdom,Playrix,https://www.appannie.com/apps/ios/app/fishdom-freeplay/details/
