Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/ios/app/minecraft-pocket-edition/details/
2,Monopoly,Marmalade,https://www.appannie.com/apps/ios/app/monopoly-2/details/
3,Plague Inc.,Ndemic Creations,https://www.appannie.com/apps/ios/app/plague-inc/details/
4,Procreate Pocket,Savage Interactive,https://www.appannie.com/apps/ios/app/procreate-pocket/details/
5,5-0 Radio Pro Police Scanner,Rego apps,https://www.appannie.com/apps/ios/app/5-0-radio-pro-police-scanner/details/
6,HotSchedules,HotSchedules,https://www.appannie.com/apps/ios/app/hotschedules/details/
7,True Skate,True Axis,https://www.appannie.com/apps/ios/app/true-skate/details/
8,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-6/details/
9,Geometry Dash,RobTop,https://www.appannie.com/apps/ios/app/geometry-dash/details/
10,Grand Theft Auto: San Andreas,Rockstar Games,https://www.appannie.com/apps/ios/app/763692274/details/
11,FlickType Keyboard,"Kpaw, LLC",https://www.appannie.com/apps/ios/app/flicktype-keyboard/details/
12,Facetune,Lightricks,https://www.appannie.com/apps/ios/app/facetune/details/
13,The Game of Life,Marmalade,https://www.appannie.com/apps/ios/app/the-game-of-life-2016-edition/details/
14,TouchRetouch,ADVA Soft,https://www.appannie.com/apps/ios/app/touchretouch/details/
15,Colossill Gram,JM Social Media LLC,https://www.appannie.com/apps/ios/app/colossill-gram/details/
16,NBA 2K20,2K Games,https://www.appannie.com/apps/ios/app/nba-2k20/details/
17,Dark Sky Weather,Apple,https://www.appannie.com/apps/ios/app/dark-sky-weather-radar-hyperlocal/details/
18,Terraria,505 Games,https://www.appannie.com/apps/ios/app/640364616/details/
19,AutoSleep Track Sleep on Watch,Tantsissa,https://www.appannie.com/apps/ios/app/autosleep-track-sleep-from/details/
20,Five Nights at Freddy's,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-2-3/details/
21,Clue: The Classic Mystery Game,Marmalade,https://www.appannie.com/apps/ios/app/clue-the-classic-mystery-game/details/
22,The Wonder Weeks,Domus Technica,https://www.appannie.com/apps/ios/app/the-wonder-weeks-2/details/
23,Ultimate Custom Night,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/ultimate-custom-night/details/
24,SkyView®,Terminal Eleven,https://www.appannie.com/apps/ios/app/404990064/details/
25,Hear My Baby Heartbeat App,Fat Cigar Productions,https://www.appannie.com/apps/ios/app/1111420122/details/
26,Sky Guide,Fifth Star,https://www.appannie.com/apps/ios/app/sky-guide-view-stars-night/details/
27,Papa's Freezeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-freezeria-to-go/details/
28,Bloons TD 5,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-5/details/
29,Arcadia - Arcade Watch Games,Raffaele D'Amato,https://www.appannie.com/apps/ios/app/arcadia-arcade-watch-games/details/
30,Five Nights at Freddy's 2,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-2/details/
31,Rebel Inc.,Ndemic Creations,https://www.appannie.com/apps/ios/app/rebel-inc/details/
32,Rarevision VHS - Retro 80s Cam,Rarevision,https://www.appannie.com/apps/ios/app/vhs-camcorder/details/
33,Farming Simulator 20,Giants Software,https://www.appannie.com/apps/ios/app/farming-simulator-20/details/
34,Forest - Stay focused,Gyro Games,https://www.appannie.com/apps/ios/app/forest-stay-focused-be-present/details/
35,Hi Monkey - Quick Chat,Mohammed Essabbar,https://www.appannie.com/apps/ios/app/hi-monkey-quick-chat/details/
36,Getting Over It,Bennett Foddy,https://www.appannie.com/apps/ios/app/getting-over-it-3/details/
37,Grand Theft Auto: Vice City,Rockstar Games,https://www.appannie.com/apps/ios/app/grand-theft-auto-vice-city-2/details/
38,ACNH Travel Guide,Jeffrey Kuiken,https://www.appannie.com/apps/ios/app/acnh-travel-guide/details/
39,J23 - Release Dates & Restocks,Matt Berg,https://www.appannie.com/apps/ios/app/j23-jordan-release-dates-and-history/details/
40,Five Nights at Freddy's: SL,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-sister-location/details/
41,Stardew Valley,Chucklefish,https://www.appannie.com/apps/ios/app/stardew-valley/details/
42,Shadowrocket,XBuding,https://www.appannie.com/apps/ios/app/shadowrocket-for-shadowsocks/details/
43,Pocket God,BoltCreative,https://www.appannie.com/apps/ios/app/pocket-god/details/
44,Cute CUT Pro,MobiVio,https://www.appannie.com/apps/ios/app/cute-cut-pro-full-featured/details/
45,Papa's Sushiria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-sushiria-to-go/details/
46,The Escapists: Prison Escape,Team17,https://www.appannie.com/apps/ios/app/the-escapists/details/
47,Toca Kitchen 2,Toca Boca,https://www.appannie.com/apps/ios/app/toca-kitchen-2/details/
48,Exploding Kittens®,Exploding Kittens,https://www.appannie.com/apps/ios/app/exploding-kittens-official/details/
49,Dokk OS,David Desrochers,https://www.appannie.com/apps/ios/app/dokk-os/details/
50,Human: Fall Flat,505 Games,https://www.appannie.com/apps/ios/app/human-fall-flat-3/details/
51,Assassin's Creed Identity,Ubisoft,https://www.appannie.com/apps/ios/app/880971164/details/
52,Stylebook,left brain right brain,https://www.appannie.com/apps/ios/app/stylebook/details/
53,Star Walk 2 - Night Sky Map,VitoTech,https://www.appannie.com/apps/ios/app/star-walk-2-guide-to-night/details/
54,Five Nights at Freddy's 4,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/1023146677/details/
55,Board Games Collection,Marmalade,https://www.appannie.com/apps/ios/app/board-games-collection-2/details/
56,Toca Hair Salon 3,Toca Boca,https://www.appannie.com/apps/ios/app/toca-hair-salon-3/details/
57,Mirror for Samsung TV,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-samsung-tv/details/
58,FiLMiC Pro－Video Camera,FiLMiC,https://www.appannie.com/apps/ios/app/filmic-pro-2-3/details/
59,Pou,Zakeh,https://www.appannie.com/apps/ios/app/pou/details/
60,Call of Duty: Black Ops Zombies,Activision Publishing,https://www.appannie.com/apps/ios/app/call-of-duty-black-ops-zombies/details/
61,Bully: Anniversary Edition,Rockstar Games,https://www.appannie.com/apps/ios/app/bully-anniversary-edition/details/
62,Mirror for Roku - AirBeamTV,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-roku/details/
63,Scanner Pro: PDF Scanner App,Readdle,https://www.appannie.com/apps/ios/app/scanner-pro-by-readdle/details/
64,Escapists 2: Pocket Breakout,Team17,https://www.appannie.com/apps/ios/app/escapists-2-pocket-breakout/details/
65,Screen Mirroring+ for Roku,2kit Consulting,https://www.appannie.com/apps/ios/app/tv-mirror-for-roku-mirroring/details/
66,FNaF 6: Pizzeria Simulator,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/fnaf-6-pizzeria-simulator/details/
67,Scribblenauts Remix,Warner Bros,https://www.appannie.com/apps/ios/app/scribblenauts-remix/details/
68,Lowriders Comeback 2: Cruising,Anton Lebed,https://www.appannie.com/apps/ios/app/lowriders-comeback-2-cruising/details/
69,Goat Simulator,Coffee Stain,https://www.appannie.com/apps/ios/app/goat-simulator/details/
70,Apocalypse Inc.,Nikolay Partas,https://www.appannie.com/apps/ios/app/apocalypse-inc/details/
71,Pocket Build,MoonBear,https://www.appannie.com/apps/ios/app/pocket-build/details/
72,Five Nights at Freddy's 3,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-3/details/
73,My Macros+ | Diet & Calories,Jason Loewy,https://www.appannie.com/apps/ios/app/my-macros-diet-weight-calorie/details/
74,NBA JAM by EA SPORTS™,Electronic Arts,https://www.appannie.com/apps/ios/app/nba-jam-by-ea-sports/details/
75,Earn to Die 2,Not Doppler,https://www.appannie.com/apps/ios/app/earn-to-die-2/details/
76,Puffin Browser Pro,CloudMosa,https://www.appannie.com/apps/ios/app/puffin-web-browser/details/
77,Grand Theft Auto: The Trilogy,Rockstar Games,https://www.appannie.com/apps/ios/app/grand-theft-auto-the-trilogy/details/
78,Flick Home Run !,Infinity Pocket,https://www.appannie.com/apps/ios/app/flick-home-run-!/details/
79,Poly Bridge,Dry Cactus,https://www.appannie.com/apps/ios/app/poly-bridge-3/details/
80,Trivia Crack (No Ads),Etermax,https://www.appannie.com/apps/ios/app/trivia-crack-ad-free/details/
81,Police Scanner +⁺,Rego apps,https://www.appannie.com/apps/ios/app/police-scanner-2-3/details/
