Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/google-play/app/com.mojang.minecraftpe/details/
2,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/google-play/app/com.ninjakiwi.bloonstd6/details/
3,Monopoly - Board game classic about real-estate!,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.monopoly/details/
4,Ultimate Custom Night,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.ultimatecustomnight/details/
5,Grand Theft Auto: San Andreas,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstargames.gtasa/details/
6,NBA 2K20,2K Games,https://www.appannie.com/apps/google-play/app/com.t2ksports.nba2k20and/details/
7,Geometry Dash,RobTop,https://www.appannie.com/apps/google-play/app/com.robtopx.geometryjump/details/
8,Five Nights at Freddy's,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fivenightsatfreddys/details/
9,Terraria,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.TerrariaPaid/details/
10,Navigation Pro: Google Maps Navi on Samsung Watch,Smartwatch Studios,https://www.appannie.com/apps/google-play/app/smartwatchstudios.app.gears3navigation/details/
11,Scanner Radio Pro - Fire and Police Scanner,Gordon Edwards,https://www.appannie.com/apps/google-play/app/com.scannerradio_pro/details/
12,Human: Fall Flat,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.humanfallflat/details/
13,Religion inc. God Simulator & Sandbox World Create,GameFirst Mobile,https://www.appannie.com/apps/google-play/app/com.gamefirst.religioninc/details/
14,HotSchedules,HotSchedules,https://www.appannie.com/apps/google-play/app/com.tdr3.hs.android/details/
15,Goat Simulator,Coffee Stain,https://www.appannie.com/apps/google-play/app/com.coffeestainstudios.goatsimulator/details/
16,The Game of Life,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.golmobile/details/
17,Five Nights at Freddy's 2,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fnaf2/details/
18,True Skate,True Axis,https://www.appannie.com/apps/google-play/app/com.trueaxis.trueskate/details/
19,Torque Pro (OBD 2 & Car),Ian Hawkins,https://www.appannie.com/apps/google-play/app/org.prowl.torque/details/
20,Pascal's Wager,Giant Global,https://www.appannie.com/apps/google-play/app/com.tipsworks.android.pascalswager.google/details/
21,FNaF 6: Pizzeria Simulator,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.freddyfazbearspizzeriasimulator/details/
22,DraStic DS Emulator,Exophase,https://www.appannie.com/apps/google-play/app/com.dsemu.drastic/details/
23,Five Nights at Freddy's: SL,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.sisterlocation/details/
24,Stardew Valley,Chucklefish,https://www.appannie.com/apps/google-play/app/com.chucklefish.stardewvalley/details/
25,My Boy! - GBA Emulator,Fast Emulator,https://www.appannie.com/apps/google-play/app/com.fastemulator.gba/details/
26,Terraforming Mars,Asmodee Digital,https://www.appannie.com/apps/google-play/app/com.asmodeedigital.terraformingmars/details/
27,Five Nights at Freddy's 4,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fnaf4/details/
28,Poly Bridge,Dry Cactus,https://www.appannie.com/apps/google-play/app/com.drycactus.polybridge/details/
29,Ticket to Ride,Asmodee Digital,https://www.appannie.com/apps/google-play/app/com.daysofwonder.tt.android/details/
30,"Ultimate Ghost Detector (real EMF, EVP recorder)",MRE Programming,https://www.appannie.com/apps/google-play/app/xyz.mreprogramming.ultimateghostdetector/details/
31,TL Pro,PixelCurves,https://www.appannie.com/apps/google-play/app/com.pixelcurves.terlauncher/details/
32,Scribblenauts Remix,Warner Bros,https://www.appannie.com/apps/google-play/app/com.wb.goog.scribbleremix/details/
33,Moco+: Chat & Meet New People,JNJ Mobile,https://www.appannie.com/apps/google-play/app/com.jnj.mocospace.android.plus/details/
34,Iron Marines,Ironhide,https://www.appannie.com/apps/google-play/app/com.ironhidegames.android.ironmarines/details/
35,The Room,Fireproof Games,https://www.appannie.com/apps/google-play/app/com.FireproofStudios.TheRoom/details/
36,Double Dragon Trilogy,Dotemu,https://www.appannie.com/apps/google-play/app/com.dotemu.ddtrilogy/details/
37,Grand Theft Auto: Vice City,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstargames.gtavc/details/
38,The Wonder Weeks vs 9,Domus Technica,https://www.appannie.com/apps/google-play/app/org.twisevictory.apps/details/
39,FL Studio Mobile,Image Line,https://www.appannie.com/apps/google-play/app/com.imageline.FLM/details/
40,The Room Three,Fireproof Games,https://www.appannie.com/apps/google-play/app/com.FireproofStudios.TheRoom3/details/
41,The Room: Old Sins,Fireproof Games,https://www.appannie.com/apps/google-play/app/com.FireproofStudios.TheRoom4/details/
42,Bendy and the Ink Machine,Joey Drew,https://www.appannie.com/apps/google-play/app/com.jds.batim/details/
43,ePSXe for Android,Epsxe,https://www.appannie.com/apps/google-play/app/com.epsxe.ePSXe/details/
44,Bloons TD 5,Ninja Kiwi,https://www.appannie.com/apps/google-play/app/com.ninjakiwi.bloonstd5/details/
45,The Room Two,Fireproof Games,https://www.appannie.com/apps/google-play/app/com.FireproofStudios.TheRoom2/details/
46,SkyView® Explore the Universe,Terminal Eleven,https://www.appannie.com/apps/google-play/app/com.t11.skyview/details/
47,Nova Launcher Prime,TeslaCoil,https://www.appannie.com/apps/google-play/app/com.teslacoilsw.launcher.prime/details/
48,Scribblenauts Unlimited,Warner Bros,https://www.appannie.com/apps/google-play/app/com.wb.goog.scribblenauts3/details/
49,Exploding Kittens® - Official,Exploding Kittens,https://www.appannie.com/apps/google-play/app/com.explodingkittens.projectbombsquad/details/
50,Hitman Sniper,SQUARE ENIX LTD,https://www.appannie.com/apps/google-play/app/com.squareenixmontreal.hitmansniperandroid/details/
51,Farming Simulator 20,Giants Software,https://www.appannie.com/apps/google-play/app/com.giantssoftware.fs20.google/details/
52,The Almost Gone,Playdigious,https://www.appannie.com/apps/google-play/app/com.happyvolcano.games.thealmostgone/details/
53,Goat Simulator Payday,Coffee Stain,https://www.appannie.com/apps/google-play/app/com.coffeestainstudios.goatsimulator.payday/details/
54,Crying Suns,Humble Bundle,https://www.appannie.com/apps/google-play/app/com.altshift.cryingsuns/details/
55,Five Nights at Freddy's 3,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fnaf3/details/
56,Assassin's Creed Identity,Ubisoft,https://www.appannie.com/apps/google-play/app/com.ubisoft.assassinscreed.identity/details/
57,Carcassonne: Official Board Game -Tiles & Tactics,Asmodee Digital,https://www.appannie.com/apps/google-play/app/com.asmodeedigital.carcassonne/details/
58,Clue,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.cluedogame/details/
59,RFS - Real Flight Simulator,RORTOS,https://www.appannie.com/apps/google-play/app/it.rortos.realflightsimulator/details/
60,RollerCoaster Tycoon® Classic,Atari,https://www.appannie.com/apps/google-play/app/com.atari.mobile.rctclassic/details/
61,Castlevania: Symphony of the Night,KONAMI,https://www.appannie.com/apps/google-play/app/jp.konami.epjCastlevania2/details/
62,Call of Duty:Black Ops Zombies,Activision Publishing,https://www.appannie.com/apps/google-play/app/com.activision.boz/details/
63,Evertale,ZigZaGame,https://www.appannie.com/apps/google-play/app/com.zigzagame.evertale/details/
64,Poonam Pandey TV,EMPPIRE BAY LIMITED,https://www.appannie.com/apps/google-play/app/com.emppire.poonampandeytv/details/
65,Tasker,joaomgcd,https://www.appannie.com/apps/google-play/app/net.dinglisch.android.taskerm/details/
66,Star Wars™: KOTOR,Aspyr,https://www.appannie.com/apps/google-play/app/com.aspyr.swkotor/details/
67,Grand Theft Auto III,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstar.gta3/details/
68,TouchRetouch,ADVA Soft,https://www.appannie.com/apps/google-play/app/com.advasoft.touchretouch/details/
69,DroidCamX Wireless Webcam Pro,Dev47Apps,https://www.appannie.com/apps/google-play/app/com.dev47apps.droidcamx/details/
70,LEGO® Jurassic World™,Warner Bros,https://www.appannie.com/apps/google-play/app/com.wb.goog.legojurassicworld/details/
71,Package Disabler Pro (Samsung),policedeveloper,https://www.appannie.com/apps/google-play/app/com.kinder.pksafety/details/
72,Kingdom Rush Origins,Ironhide,https://www.appannie.com/apps/google-play/app/com.ironhidegames.android.kingdomrushorigins/details/
73,The House of Da Vinci,Blue Brain Games,https://www.appannie.com/apps/google-play/app/com.bluebraingames.thehouseofdavinci/details/
74,Poweramp Full Version Unlocker,Max MP,https://www.appannie.com/apps/google-play/app/com.maxmpz.audioplayer.unlock/details/
75,Toca Life: Hospital,Toca Boca,https://www.appannie.com/apps/google-play/app/com.tocaboca.tocahospital/details/
76,Kingdom Rush Vengeance,Ironhide,https://www.appannie.com/apps/google-play/app/com.ironhidegames.android.kingdomrush4/details/
77,Golf On Mars,Captain Games,https://www.appannie.com/apps/google-play/app/com.captaingames.mars/details/
78,Goat Simulator Waste of Space,Coffee Stain,https://www.appannie.com/apps/google-play/app/com.coffeestainstudios.goatsimulator.wasteofspace/details/
79,Bully: Anniversary Edition,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstargames.bully/details/
80,Monument Valley,ustwo,https://www.appannie.com/apps/google-play/app/com.ustwo.monumentvalley/details/
81,MyRadar Weather Radar Ad Free,ACME AtronOmatic,https://www.appannie.com/apps/google-play/app/com.acmeaom.android.myradarpro/details/
82,Necrophonic,ChillSeekers,https://www.appannie.com/apps/google-play/app/com.chillseekers.Necrophonic/details/
