Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/google-play/app/com.mojang.minecraftpe/details/
2,Coin Master,Moon Active,https://www.appannie.com/apps/google-play/app/com.moonactive.coinmaster/details/
3,Pokémon GO,Niantic,https://www.appannie.com/apps/google-play/app/com.nianticlabs.pokemongo/details/
4,Candy Crush Saga,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsaga/details/
5,Roblox,Roblox,https://www.appannie.com/apps/google-play/app/com.roblox.client/details/
6,Gardenscapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.gardenscapes/details/
7,Google One,Google,https://www.appannie.com/apps/google-play/app/com.google.android.apps.subscriptions.red/details/
8,Slotomania™ Slots Casino: Slot Machine Games,Playtika,https://www.appannie.com/apps/google-play/app/air.com.playtika.slotomania/details/
9,Clash of Clans,Supercell,https://www.appannie.com/apps/google-play/app/com.supercell.clashofclans/details/
10,"Pandora - Streaming Music, Radio & Podcasts",Pandora,https://www.appannie.com/apps/google-play/app/com.pandora.android/details/
11,Homescapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.homescapes/details/
12,Bingo Blitz™️ - Bingo Games,Playtika Santa Monica,https://www.appannie.com/apps/google-play/app/air.com.buffalo_studios.newflashbingo/details/
13,Garena Free Fire: Rampage,Garena Online,https://www.appannie.com/apps/google-play/app/com.dts.freefireth/details/
14,MARVEL Strike Force - Squad RPG,FoxNext Games,https://www.appannie.com/apps/google-play/app/com.foxnextgames.m3/details/
15,DRAGON BALL LEGENDS,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/google-play/app/com.bandainamcoent.dblegends_ww/details/
16,Candy Crush Soda Saga,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsodasaga/details/
17,Jackpot Party Casino Games: Spin FREE Casino Slots,Scientific Games,https://www.appannie.com/apps/google-play/app/com.williamsinteractive.jackpotparty/details/
