Rank,Name,Company,Link
1,Super Sniper!,Voodoo,https://www.appannie.com/apps/google-play/app/com.mitochondriastudios.supersniper/details/
2,Luggage Please,Webedia,https://www.appannie.com/apps/google-play/app/com.scimob.bubble.xray/details/
3,Brain Test 2: Tricky Stories,Unico Studio,https://www.appannie.com/apps/google-play/app/com.unicostudio.braintest2new/details/
4,Repair Master 3D,Rollic,https://www.appannie.com/apps/google-play/app/com.quok.repairMaster3d/details/
5,Lucky Dice,Lucky King Studio,https://www.appannie.com/apps/google-play/app/com.luckydice.fun/details/
6,Ice Cream Roll,Lucky Kat Studios,https://www.appannie.com/apps/google-play/app/com.luckykat.icecreamroll/details/
7,Hyper Life,Suji Games,https://www.appannie.com/apps/google-play/app/com.redcat.hyperlife3d/details/
8,Fix the Item!,Alictus,https://www.appannie.com/apps/google-play/app/com.clowngames.fixtheitem/details/
9,SpongeBob: Krusty Cook-Off,Tilting Point,https://www.appannie.com/apps/google-play/app/com.tiltingpoint.spongebob/details/
10,Flick Chess!,Supersonic,https://www.appannie.com/apps/google-play/app/com.twostar.flickchess/details/
11,Sneak Thief 3D,Kwalee,https://www.appannie.com/apps/google-play/app/com.kwalee.sneakythief/details/
12,Bullet Bender,Lion Studios,https://www.appannie.com/apps/google-play/app/com.playCog.bulletBender/details/
13,Car Restoration 3D,Rollic,https://www.appannie.com/apps/google-play/app/com.tiplaystudio.CarRestoration3D/details/
14,Zynn,Gagasan Cerdas,https://www.appannie.com/apps/google-play/app/com.gtek.zynn/details/
15,Cube Surfer!,Voodoo,https://www.appannie.com/apps/google-play/app/com.Atinon.PassOver/details/
16,Good Slice,Voodoo,https://www.appannie.com/apps/google-play/app/com.lightneer.goodslice/details/
17,Exos Heroes,LINE Games,https://www.appannie.com/apps/google-play/app/com.linegames.exos/details/
18,My Town: Car Garage. Wash & Fix kids Car Game,My Town,https://www.appannie.com/apps/google-play/app/mytown.garage.free/details/
19,Stack Colors!,Voodoo,https://www.appannie.com/apps/google-play/app/com.redforcegames.stack.colors/details/
20,Word Picnic:Fun Word Games,Word Game Studio,https://www.appannie.com/apps/google-play/app/com.word.picnic.fun.crossword.puzzle/details/
21,Color Flow 3D,Good Job Games,https://www.appannie.com/apps/google-play/app/com.game.colorflow3d/details/
22,Get Married 3D,Gamejam,https://www.appannie.com/apps/google-play/app/com.game.jam.get.married.best.love.girl/details/
23,Night Race - Idle Car Merger,Meko Games,https://www.appannie.com/apps/google-play/app/com.Mekogames.NightRaceA/details/
24,Merge Defense 3D,MysteryTag,https://www.appannie.com/apps/google-play/app/com.tatemgames.mergedefense3d/details/
25,Sonos,Sonos,https://www.appannie.com/apps/google-play/app/com.sonos.acr2/details/
26,Idle Air Force Base,Neon Play,https://www.appannie.com/apps/google-play/app/com.neonplay.casualidleairforcebase/details/
27,Bungeet!,Voodoo,https://www.appannie.com/apps/google-play/app/com.tarbooshgames.bungeet/details/
28,Home Design : Amazing Interiors,CookApps,https://www.appannie.com/apps/google-play/app/com.cookapps.amazinginterior/details/
29,ParentsKit,Jet Applications,https://www.appannie.com/apps/google-play/app/com.parentskit.app/details/
30,Cooking Games 3D,Gamejam,https://www.appannie.com/apps/google-play/app/com.game.jam.cooking.games.best/details/
31,Frontier Justice-Return to the Wild West,Onemt,https://www.appannie.com/apps/google-play/app/and.onemt.ww/details/
32,Robot Super: Hero,Funnii,https://www.appannie.com/apps/google-play/app/com.funnii.robotsuper.offlinegames/details/
33,Hundred Soul : The Last Savior,Hound13,https://www.appannie.com/apps/google-play/app/com.hound13.hundredsoulglobal/details/
34,"PREQUEL: Filters, Effects & Editing",Prequel,https://www.appannie.com/apps/google-play/app/com.prequel.app/details/
35,IRL - Social Calendar,IRL App,https://www.appannie.com/apps/google-play/app/co.irl.android/details/
36,Funny Voice - Make your voice more interesting.,Juan Upchurch,https://www.appannie.com/apps/google-play/app/com.funny.voice/details/
37,Hero Cantare with WEBTOON™,Ngel Games,https://www.appannie.com/apps/google-play/app/com.ngelgames.herocantare/details/
38,Skins Master for Minecraft PE,DUCSTUDIO,https://www.appannie.com/apps/google-play/app/com.minecraft.mcpe.skins.master/details/
39,OnlyFans,Ciclops Media,https://www.appannie.com/apps/google-play/app/com.coffye.apponlyfans/details/
40,Dragon Drill,WinterGameStudio,https://www.appannie.com/apps/google-play/app/comme.dragondrill.minigame/details/
41,Bullet Echo,ZeptoLab,https://www.appannie.com/apps/google-play/app/com.zeptolab.bulletecho.google/details/
42,Stick With It,Sam Hogan,https://www.appannie.com/apps/google-play/app/com.trickshotlabs.stickwithit/details/
43,Classic Solitaire,BIG CAKE APPS,https://www.appannie.com/apps/google-play/app/com.solitaire.card/details/
44,Cartoona Photo Editor,Creative Bits,https://www.appannie.com/apps/google-play/app/com.cartoona/details/
45,Rust+,Facepunch Studios,https://www.appannie.com/apps/google-play/app/com.facepunch.rust.companion/details/
46,inSecret,DevGenius,https://www.appannie.com/apps/google-play/app/com.insecret.insecret/details/
47,Save The Fish!,MesibaGames,https://www.appannie.com/apps/google-play/app/com.mesibagames.SaveTheFish/details/
48,Xstar: Sleep and Mindfu,Xstar Plus,https://www.appannie.com/apps/google-play/app/com.el2020xstar.xstar/details/
49,Sling Puck 3D Challenge,David Vardi,https://www.appannie.com/apps/google-play/app/com.gr8media.slingpuck/details/
50,maybe: Interactive Stories,Cinamon,https://www.appannie.com/apps/google-play/app/com.cinamongames.maybegv/details/
51,Shows worth (re) watching,"Ultra Labs, Inc.",https://www.appannie.com/apps/google-play/app/my.com.showsworth.rewatching/details/
52,Wind Speed Cleaner,Yanyan team,https://www.appannie.com/apps/google-play/app/wind.breath.smile.reve/details/
53,Silver Luxury Watch Wallpaper and Keyboard,Gif Keyboard Themes for Android,https://www.appannie.com/apps/google-play/app/silver.luxury.watch.wallpaper.live.keyboard/details/
54,"Braindom: Tricky Brain Puzzle, Mind Games,IQ Test",Matchingham Games,https://www.appannie.com/apps/google-play/app/com.braindom/details/
55,Doorman Story: Hotel team tycoon,ADQUANTUM LTD,https://www.appannie.com/apps/google-play/app/com.rmg.hotelteam/details/
56,KartRider Rush+,NEXON,https://www.appannie.com/apps/google-play/app/com.nexon.kart/details/
57,Shadow Knight: Deathly Adventure RPG,Fansipan Limited,https://www.appannie.com/apps/google-play/app/com.fansipan.stickman.fight.shadow.knights/details/
58,Free HD Movies 2020,Watch Free Movies Free Trailer,https://www.appannie.com/apps/google-play/app/com.movies.free.hd2020/details/
59,Crazy Cazboys,Crazy Cazboy,https://www.appannie.com/apps/google-play/app/com.crazycazboy.crazycazboys/details/
60,Last Hero: Roguelike Shooting Game,SuperNova,https://www.appannie.com/apps/google-play/app/com.supernova.ggplay.lastherodotd/details/
61,Size Race,Rainbow Entertainment Ltd,https://www.appannie.com/apps/google-play/app/com.rainbowentertainment.tirescale/details/
62,Dog Condo,Maple Studios,https://www.appannie.com/apps/google-play/app/com.dog.condo.merge.idle.android/details/
63,Super Cleaner - Most Effective & Free Cleaner App,TISHA EVERETT,https://www.appannie.com/apps/google-play/app/com.supercleaner.bestbooster.cpucooler.extendbatteryusage.memory.powerfultool/details/
64,Hero Strike 3D,Kwalee,https://www.appannie.com/apps/google-play/app/com.kwalee.superherosunset/details/
65,Crazy Roulette - Best roulette game ever,Shapekeeper,https://www.appannie.com/apps/google-play/app/com.iw.android.roulette/details/
66,Pixel Match 3D,Translimit,https://www.appannie.com/apps/google-play/app/jp.co.translimit.pixelcut/details/
67,Fish Crush 2 - 2020 Match 3 Puzzle Free New,Yunbu Game Studio,https://www.appannie.com/apps/google-play/app/com.yunbu.fish.crush2.free/details/
68,Free Robux Loto 2020,IVM games,https://www.appannie.com/apps/google-play/app/com.htfr.free.robux.loto2020/details/
69,Paint Brawl 3D,KobGames,https://www.appannie.com/apps/google-play/app/com.kob.paintbrawl3d/details/
70,Mother Simulator: Family Life,"Skytec Games, Inc.",https://www.appannie.com/apps/google-play/app/com.mothersimulator3d2/details/
71,Smash,Voodoo,https://www.appannie.com/apps/google-play/app/io.voodoo.smash/details/
72,zynn money,maryseto,https://www.appannie.com/apps/google-play/app/com.zynn.howtomakemoneyonline/details/
73,Piggy chapter 1,Lio Games,https://www.appannie.com/apps/google-play/app/com.yonkogames.piggy/details/
74,Car Industry Tycoon - Idle Car Factory Simulator,Adrian Zarzycki,https://www.appannie.com/apps/google-play/app/com.AdrianZarzycki.idle.incremental.car.industry.tycoon/details/
75,Idle Arks: Build at Sea,Bug-free Studio,https://www.appannie.com/apps/google-play/app/com.xtt.iasurv2/details/
76,Jade Sword,4399,https://www.appannie.com/apps/google-play/app/com.jllen.an.en4399/details/
77,Bubble Shooter,Words Mobile,https://www.appannie.com/apps/google-play/app/com.lyd.bubble/details/
78,Cooking Festival,BoomBit,https://www.appannie.com/apps/google-play/app/com.boombit.cooking.festival/details/
79,"Cool Cleaner - Best, Latest and Free Phone Cleaner",aileen genens,https://www.appannie.com/apps/google-play/app/com.coolcleaner.bestcleanerboostercpucooler.batterysaver.cleanjunkcache.speedupphone/details/
80,Trivia Hit Race,Roman Kislenko,https://www.appannie.com/apps/google-play/app/com.romank.triviahitrace/details/
81,Baby Panda's Life: Cleanup,BabyBus,https://www.appannie.com/apps/google-play/app/com.sinyee.babybus.organizedII/details/
82,Piggy Granny Obby Escape roblx mod,Obby Escape Roblox,https://www.appannie.com/apps/google-play/app/com.FranceBakon.ScaryPiggyGrannyRoblox/details/
83,Spiro Art - ASMR Game,Voodoo,https://www.appannie.com/apps/google-play/app/com.germanicus.spiro/details/
84,Siren Head SCP 6789 MOD,Granny simulator Games,https://www.appannie.com/apps/google-play/app/com.DefaultCompany.SCPSirenHead/details/
85,777 Slotoday Slot machine games - Free Vegas Slots,NEOWIZ,https://www.appannie.com/apps/google-play/app/com.neowiz.casino.slots.classic.slot.machine/details/
86,Perfect Kick 2 - Online SOCCER game,Gamegou,https://www.appannie.com/apps/google-play/app/com.gamegou.perfectkick2/details/
87,Tiny Kingdom,IEC Games,https://www.appannie.com/apps/google-play/app/com.iecca.tiny.kingdom/details/
88,Pedometer - Step Counter & Tracking Your Steps,Healthy Everyday,https://www.appannie.com/apps/google-play/app/com.healthyeveryday.pedometer.stepcounter/details/
89,Angry Crocodile Game: New Wild Hunting Games,GamePark,https://www.appannie.com/apps/google-play/app/com.gp.angry.crocodile.simulator.attack.hunting.games/details/
90,Slingshot Wreck,Azur Interactive Games,https://www.appannie.com/apps/google-play/app/slingshot.building.destroy/details/
91,Spintimes Mudfest - Offroad Driving Games,Limitless - Free Games,https://www.appannie.com/apps/google-play/app/com.trucks.offroad.spintimes/details/
92,Pendulums 3D,Atom Entertainment,https://www.appannie.com/apps/google-play/app/com.AtomEntertainment.Pendulums3D/details/
93,Dino Games - Hunting Expedition Wild Animal Hunter,Limitless - Free Games,https://www.appannie.com/apps/google-play/app/com.dinosaur.games.dinosaurgames.games/details/
94,Embroidery,SalamLive Corporation S.P.C,https://www.appannie.com/apps/google-play/app/com.embroidery.game/details/
95,Captain Remastered Real Gangster Miami Crime,Powers Bumreplom,https://www.appannie.com/apps/google-play/app/com.thor.vaiking.hero.gta.gangster/details/
96,Full Movies HD 2020 - Free Movies trailer,Watch Free Movies Free Trailer,https://www.appannie.com/apps/google-play/app/com.gotheme.download.free.movies.free/details/
98,Car Hill Racing,FreshyAppsdinta,https://www.appannie.com/apps/google-play/app/com.fastcgi.studio.game.carhill.racing/details/
99,Addons For Minecraft 2020,Dedo Studio,https://www.appannie.com/apps/google-play/app/com.mcpe.addons.mods.minecraftpe/details/
100,Screen Mirroring HD - Cast to Screen TV,Android Does Team,https://www.appannie.com/apps/google-play/app/com.cast.screen.x.castto/details/
101,Super Bright Flashlight - Lighting Brightly,Best tools ever,https://www.appannie.com/apps/google-play/app/flashlight.free.light.bright.torch/details/
102,Moe! Ninja Girls RPG: SHINOBI,NTT Solmare,https://www.appannie.com/apps/google-play/app/com.nttsolmare.game.android.rpg/details/
