Rank,Name,Company,Link
1,Dead Cells,Playdigious,https://www.appannie.com/apps/google-play/app/com.playdigious.deadcells.mobile/details/
2,My Movies 3 Pro - Movie & TV Collection Library,Binnerup Consult,https://www.appannie.com/apps/google-play/app/dk.mymovies.mymovies3forandroidpro/details/
3,Apocalypse Inc.,Nikolay Partas,https://www.appannie.com/apps/google-play/app/com.playesta.apocalypse/details/
4,Fit the Blocks (No Ads) - Rectangle Block Puzzle,droidoc,https://www.appannie.com/apps/google-play/app/com.droidoc.fittheblocksnoads/details/
5,Thermo Sudoku,Studio Goya LLC,https://www.appannie.com/apps/google-play/app/com.StudioGoya.ThermoSudoku/details/
6,Danganronpa: Trigger Happy Havoc Anniversary Editi,Spike Chunsoft,https://www.appannie.com/apps/google-play/app/jp.co.spike_chunsoft.DR1/details/
7,My City : Grandparents Home,My Town,https://www.appannie.com/apps/google-play/app/mycity.grandparents/details/
8,Imperial Settlers: Roll & Write,Portal Games Digital,https://www.appannie.com/apps/google-play/app/pl.portalgames.isrw/details/
9,Meridian 157: Chapter 2,NovaSoft Interactive,https://www.appannie.com/apps/google-play/app/com.gmail.novasoftinteractive.Meridian_157_Chapter_2/details/
10,2112TD: Tower Defense Survival,Refinery Productions,https://www.appannie.com/apps/google-play/app/com.refineryproductions_2112td/details/
11,Ultimate Spider Simulator 2,Gluten Free Games LLC,https://www.appannie.com/apps/google-play/app/com.glutenfreegames.ultimatespidertwo/details/
12,Ouijalus,Paranormal Disorder,https://www.appannie.com/apps/google-play/app/com.itclegions.disorder/details/
13,Overdrive 2.6 Relaunched by Digital Dream Labs,Digital Dream Labs LLC,https://www.appannie.com/apps/google-play/app/com.digitaldreamlabs.retrodrive/details/
14,BuzzKill - Notification Superpowers,Sam Ruston,https://www.appannie.com/apps/google-play/app/com.samruston.buzzkill/details/
15,Bubblegum: Glyphs,Dream On,https://www.appannie.com/apps/google-play/app/com.dreamon.bubblegum.glyphs/details/
16,Pixel UI - High Quality Pixel Widgets for KWGT,Liùk,https://www.appannie.com/apps/google-play/app/pixelui.kustom.pack/details/
17,Awesome Navigator: Map navigation for Samsung gear,Awesome Stuffs Studio,https://www.appannie.com/apps/google-play/app/com.awesomestuffstudio.awesomenavigator2/details/
18,Fantasy Mosaics 41: Wizard's Realm,Andy Jurko,https://www.appannie.com/apps/google-play/app/com.matchgems.fantasy_mosaics_41/details/
19,.Decluster Zero: Bullet Nocturne,MASAYUKI ITO,https://www.appannie.com/apps/google-play/app/com.msykit.Stg0x1g/details/
20,Fives - Card Game,The Gambling Addicts,https://www.appannie.com/apps/google-play/app/thegamblingaddicts.fives/details/
21,RPG Scribe Pathfinder & 3.5e,Rlyeh Industry,https://www.appannie.com/apps/google-play/app/com.rlyehindustry.rpgscribe/details/
22,Arena of Legends: Ultimate World,BAIKA,https://www.appannie.com/apps/google-play/app/en.arenaoflegends/details/
23,Whipseey,Crescent Moon Games,https://www.appannie.com/apps/google-play/app/com.cm.whipseey/details/
24,Earn BTC - BTC Cloud Mining,Earn BTC LTD.,https://www.appannie.com/apps/google-play/app/com.earnbtcapp/details/
25,The Secret of Crimson Manor,MediaCity,https://www.appannie.com/apps/google-play/app/com.mediacitygames.cmanor/details/
26,SocialD,"Champion Technology Solutions, LLC",https://www.appannie.com/apps/google-play/app/com.championtech.sociald_02/details/
27,Neumorphic Theme for Klwp Vol 2,Dinh Si Hien,https://www.appannie.com/apps/google-play/app/neumorphicthemevol2.kustom.pack/details/
28,Hot Spot Shops,Jorge Oviedo,https://www.appannie.com/apps/google-play/app/com.manichov.hotspotshops/details/
29,Buggy Backup,buggysofts,https://www.appannie.com/apps/google-play/app/com.buggysofts.buggybackup/details/
30,Shadowrocket,sunming LLC,https://www.appannie.com/apps/google-play/app/com.yhttvpn.Shadowrocket/details/
31,Are They Hiring? Washington Teacher's Edition,DeltaStarStudios,https://www.appannie.com/apps/google-play/app/com.deltastarstudios.aretheyhiring/details/
32,Virtual Race Car Engineer 2020,Monkey Face Software LLC,https://www.appannie.com/apps/google-play/app/com.MonkeyFaceSoftwareLLC.VRCE2020/details/
33,Ostium,Brian Holloway,https://www.appannie.com/apps/google-play/app/appinventor.ai_payas1965.Ostium/details/
34,VBE VOVILUS II,VBE INC.,https://www.appannie.com/apps/google-play/app/com.vbeinc.vbevovilus2/details/
35,Sky Gamblers: Storm Raiders 2,Atypical Games,https://www.appannie.com/apps/google-play/app/com.atypicalgames.sgsr2/details/
36,MyScreen for KLWP,clod007,https://www.appannie.com/apps/google-play/app/myscreen.kustom.pack/details/
37,Auriga Anafi,Auriga Software,https://www.appannie.com/apps/google-play/app/com.swg.anafiprova/details/
38,Cora — Organization tool,Refinery Apps,https://www.appannie.com/apps/google-play/app/com.refineryapps.cora/details/
39,Cloud BTC - Bitcoin Cloud Mining,Cloud BTC LTD.,https://www.appannie.com/apps/google-play/app/com.cloud.btc.mining/details/
40,Whatcraft Pro,erow.dev,https://www.appannie.com/apps/google-play/app/com.erow.whatcraft.pro/details/
41,Ember for KLWP,Charlee Designs,https://www.appannie.com/apps/google-play/app/pl.mhcharlee.ember/details/
42,Football Highlights 2052,Telnet Communications,https://www.appannie.com/apps/google-play/app/com.PeterKossits.FootballHighlights/details/
43,The Quest - Mithril Horde,Redshift Games,https://www.appannie.com/apps/google-play/app/hu.redshift.thequestexpe/details/
44,Trycolors - mix colors,Oleg Katryshev,https://www.appannie.com/apps/google-play/app/com.trycolors/details/
45,Huge Lock Screen Clock,Riccardo Camattari,https://www.appannie.com/apps/google-play/app/com.cama.app.hugelockscreenclock/details/
46,SAF/EST,Accitrack Pty Ltd,https://www.appannie.com/apps/google-play/app/com.accitrack.covidscan/details/
47,Seabook,Ozgur Dogan GUNES,https://www.appannie.com/apps/google-play/app/com.SeabookApp.seabook/details/
48,Fall of Army Group Center 1944 Operation Bagration,Joni Nuutinen,https://www.appannie.com/apps/google-play/app/com.cloudworth.center/details/
49,KinG KWGT,Ahmad Ansari,https://www.appannie.com/apps/google-play/app/com.kingkwgt.kustom.pack/details/
50,Break Dance - Theme Park Simulator,Best Ride Simulators 🎡,https://www.appannie.com/apps/google-play/app/com.raultruji3d.amusement.park.simulator.breakdance/details/
51,Superimpose X 2020,Brenda Nicholson LLC,https://www.appannie.com/apps/google-play/app/com.wqeioasoid.sadowqe/details/
52,Traffic Jam Cars Puzzle Premium,Gametamin PTE .LTD,https://www.appannie.com/apps/google-play/app/com.gametamin.trafficpuzzlegamepremium/details/
53,Nullum,Misc.261 Games,https://www.appannie.com/apps/google-play/app/com.misc261.nullum/details/
54,Coloring Fun with Fox and Sheep,Fox and Sheep,https://www.appannie.com/apps/google-play/app/com.FoxSheep.Coloring/details/
55,Revolution Icon Pack (Pro),Developer Nick,https://www.appannie.com/apps/google-play/app/com.nickdvlpr.revolution.pro/details/
56,reky,Plug in Digital,https://www.appannie.com/apps/google-play/app/com.beyondthosehills.pid.gp.reky/details/
57,Lighter Shadow UI,Alfonso Pérez,https://www.appannie.com/apps/google-play/app/lightershadowui.kustom.pack/details/
58,Multi App Lock (Beta),Digitalapii,https://www.appannie.com/apps/google-play/app/com.bipin.multiapplock/details/
59,Illegal Race Tuning - Real car racing multiplayer,Tuning Mania,https://www.appannie.com/apps/google-play/app/com.TuningMania.IllegalRaceTuning/details/
60,File Manager Content Phone,Tiny Watch,https://www.appannie.com/apps/google-play/app/com.tinyapps.filetransfer/details/
61,Anime HD & Watch KizsAnime TV Pro,Prox inc,https://www.appannie.com/apps/google-play/app/com.bhhp.prox.watchanime.pro/details/
62,Channie Film,Screw Bar,https://www.appannie.com/apps/google-play/app/com.screwbar.gudakcamera.channiefilm/details/
