Rank,Name,Company,Link
1,Coin Master,Moon Active,https://www.appannie.com/apps/google-play/app/com.moonactive.coinmaster/details/
2,Pokémon GO,Niantic,https://www.appannie.com/apps/google-play/app/com.nianticlabs.pokemongo/details/
3,Roblox,Roblox,https://www.appannie.com/apps/google-play/app/com.roblox.client/details/
4,Candy Crush Saga,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsaga/details/
5,Google One,Google,https://www.appannie.com/apps/google-play/app/com.google.android.apps.subscriptions.red/details/
6,Gardenscapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.gardenscapes/details/
7,Disney+,Disney,https://www.appannie.com/apps/google-play/app/com.disney.disneyplus/details/
8,Call of Duty®: Mobile,Activision Publishing,https://www.appannie.com/apps/google-play/app/com.activision.callofduty.shooter/details/
9,"Pandora - Streaming Music, Radio & Podcasts",Pandora,https://www.appannie.com/apps/google-play/app/com.pandora.android/details/
10,Slotomania™ Slots Casino: Slot Machine Games,Playtika,https://www.appannie.com/apps/google-play/app/air.com.playtika.slotomania/details/
11,Rise of Kingdoms: Lost Crusade,Lilith,https://www.appannie.com/apps/google-play/app/com.lilithgame.roc.gp/details/
12,Bingo Blitz™️ - Free Bingo Games,Playtika Santa Monica,https://www.appannie.com/apps/google-play/app/air.com.buffalo_studios.newflashbingo/details/
13,MARVEL Strike Force - Squad RPG,FoxNext Games,https://www.appannie.com/apps/google-play/app/com.foxnextgames.m3/details/
14,Homescapes,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.homescapes/details/
15,Garena Free Fire: Rampage,Garena Online,https://www.appannie.com/apps/google-play/app/com.dts.freefireth/details/
16,Jackpot Party Casino Games: Spin FREE Casino Slots,Scientific Games,https://www.appannie.com/apps/google-play/app/com.williamsinteractive.jackpotparty/details/
17,Empires & Puzzles: Epic Match 3,Small Giant Games,https://www.appannie.com/apps/google-play/app/com.smallgiantgames.empires/details/
18,Candy Crush Soda Saga,King,https://www.appannie.com/apps/google-play/app/com.king.candycrushsodasaga/details/
19,Fishdom,Playrix,https://www.appannie.com/apps/google-play/app/com.playrix.fishdomdd.gplay/details/
20,RAID: Shadow Legends,Plarium,https://www.appannie.com/apps/google-play/app/com.plarium.raidlegends/details/
21,Toon Blast,Peak,https://www.appannie.com/apps/google-play/app/net.peakgames.toonblast/details/
