Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/google-play/app/com.mojang.minecraftpe/details/
2,Monopoly - Board game classic about real-estate!,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.monopoly/details/
3,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/google-play/app/com.ninjakiwi.bloonstd6/details/
4,Ultimate Custom Night,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.ultimatecustomnight/details/
5,Grand Theft Auto: San Andreas,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstargames.gtasa/details/
6,The Game of Life,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.golmobile/details/
7,Terraria,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.TerrariaPaid/details/
8,Geometry Dash,RobTop,https://www.appannie.com/apps/google-play/app/com.robtopx.geometryjump/details/
9,Clue,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.cluedogame/details/
10,Navigation Pro: Google Maps Navi on Samsung Watch,Smartwatch Studios,https://www.appannie.com/apps/google-play/app/smartwatchstudios.app.gears3navigation/details/
11,Five Nights at Freddy's,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fivenightsatfreddys/details/
12,Scanner Radio Pro - Fire and Police Scanner,Gordon Edwards,https://www.appannie.com/apps/google-play/app/com.scannerradio_pro/details/
13,Golf On Mars,Captain Games,https://www.appannie.com/apps/google-play/app/com.captaingames.mars/details/
14,Human: Fall Flat,505 Games,https://www.appannie.com/apps/google-play/app/com.and.games505.humanfallflat/details/
15,NBA 2K20,2K Games,https://www.appannie.com/apps/google-play/app/com.t2ksports.nba2k20and/details/
16,Goat Simulator,Coffee Stain,https://www.appannie.com/apps/google-play/app/com.coffeestainstudios.goatsimulator/details/
17,HotSchedules,HotSchedules,https://www.appannie.com/apps/google-play/app/com.tdr3.hs.android/details/
18,True Skate,True Axis,https://www.appannie.com/apps/google-play/app/com.trueaxis.trueskate/details/
19,Torque Pro (OBD 2 & Car),Ian Hawkins,https://www.appannie.com/apps/google-play/app/org.prowl.torque/details/
20,FNaF 6: Pizzeria Simulator,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.clickteam.freddyfazbearspizzeriasimulator/details/
21,Five Nights at Freddy's 2,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fnaf2/details/
22,DraStic DS Emulator,Exophase,https://www.appannie.com/apps/google-play/app/com.dsemu.drastic/details/
23,My Boy! - GBA Emulator,Fast Emulator,https://www.appannie.com/apps/google-play/app/com.fastemulator.gba/details/
24,Stardew Valley,Chucklefish,https://www.appannie.com/apps/google-play/app/com.chucklefish.stardewvalley/details/
25,Five Nights at Freddy's: SL,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.sisterlocation/details/
26,Poly Bridge,Dry Cactus,https://www.appannie.com/apps/google-play/app/com.drycactus.polybridge/details/
27,Drum Corps Tycoon (Early Access),LotHype.com,https://www.appannie.com/apps/google-play/app/com.Lukens.DrumCorpsTycoon/details/
28,TL Pro,PixelCurves,https://www.appannie.com/apps/google-play/app/com.pixelcurves.terlauncher/details/
29,THE GAME OF LIFE Vacations,Marmalade,https://www.appannie.com/apps/google-play/app/com.marmalade.golv/details/
30,Religion inc.,GameFirst Mobile,https://www.appannie.com/apps/google-play/app/com.gamefirst.religioninc/details/
31,Bloons TD 5,Ninja Kiwi,https://www.appannie.com/apps/google-play/app/com.ninjakiwi.bloonstd5/details/
32,Scribblenauts Remix,Warner Bros,https://www.appannie.com/apps/google-play/app/com.wb.goog.scribbleremix/details/
