Rank,Name,Company,Link
1,Tangle Master 3D,Rollic,https://www.appannie.com/apps/ios/app/tangle-master-3d/details/
2,My Talking Tom Friends,Outfit7,https://www.appannie.com/apps/ios/app/my-talking-tom-friends/details/
3,Zynn,OWLII,https://www.appannie.com/apps/ios/app/zynn/details/
4,Cube Surfer!,Voodoo,https://www.appannie.com/apps/ios/app/pass-over/details/
5,Stack Colors!,Voodoo,https://www.appannie.com/apps/ios/app/stack-colors/details/
6,TikTok - Make Your Day,TikTok Inc,https://www.appannie.com/apps/ios/app/musically-add-music-sound/details/
7,ZOOM Cloud Meetings,Zoom Video Communications,https://www.appannie.com/apps/ios/app/zoom-cloud-meetings/details/
8,"YouTube: Watch, Listen, Stream",Google,https://www.appannie.com/apps/ios/app/youtube/details/
9,Instagram,Instagram,https://www.appannie.com/apps/ios/app/instagram/details/
10,Messenger,Facebook,https://www.appannie.com/apps/ios/app/facebook-messenger/details/
11,Facebook,Facebook,https://www.appannie.com/apps/ios/app/facebook/details/
12,Snapchat,Snap,https://www.appannie.com/apps/ios/app/snapchat/details/
13,Bunch Group Video Chat & Games,500 Labs,https://www.appannie.com/apps/ios/app/gameroom-play-games-w-friends/details/
14,Google Maps - Transit & Food,Google,https://www.appannie.com/apps/ios/app/google-maps/details/
15,Gmail - Email by Google,Google,https://www.appannie.com/apps/ios/app/gmail-email-from-google/details/
16,Cash App,Square Inc,https://www.appannie.com/apps/ios/app/square-cash-send-money-for-free/details/
17,Amazon - Shopping made easy,Amazon,https://www.appannie.com/apps/ios/app/amazon-app-shop-browse-scan/details/
18,Netflix,Netflix,https://www.appannie.com/apps/ios/app/netflix/details/
19,Good Slice,Voodoo,https://www.appannie.com/apps/ios/app/good-slice/details/
20,SHEIN-Fashion Shopping Online,Shein,https://www.appannie.com/apps/ios/app/the-yub-shop-for-less/details/
21,Spotify: Music and Podcasts,Spotify,https://www.appannie.com/apps/ios/app/spotify-music/details/
22,PayPal: Mobile Cash,PayPal,https://www.appannie.com/apps/ios/app/paypal/details/
23,WhatsApp Messenger,WhatsApp,https://www.appannie.com/apps/ios/app/whatsapp-messenger/details/
