Rank,Name,Company,Link
1,Tangle Master 3D,Rollic,https://www.appannie.com/apps/ios/app/tangle-master-3d/details/
2,My Talking Tom Friends,Outfit7,https://www.appannie.com/apps/ios/app/my-talking-tom-friends/details/
3,ZOOM Cloud Meetings,Zoom Video Communications,https://www.appannie.com/apps/ios/app/zoom-cloud-meetings/details/
4,Stack Colors!,Voodoo,https://www.appannie.com/apps/ios/app/stack-colors/details/
5,Cube Surfer!,Voodoo,https://www.appannie.com/apps/ios/app/pass-over/details/
6,TikTok - Make Your Day,TikTok Inc,https://www.appannie.com/apps/ios/app/musically-add-music-sound/details/
7,"YouTube: Watch, Listen, Stream",Google,https://www.appannie.com/apps/ios/app/youtube/details/
8,Instagram,Instagram,https://www.appannie.com/apps/ios/app/instagram/details/
9,Messenger,Facebook,https://www.appannie.com/apps/ios/app/facebook-messenger/details/
10,Facebook,Facebook,https://www.appannie.com/apps/ios/app/facebook/details/
11,Money Buster!,Alictus,https://www.appannie.com/apps/ios/app/money-buster/details/
12,Snapchat,Snap,https://www.appannie.com/apps/ios/app/snapchat/details/
13,Gmail - Email by Google,Google,https://www.appannie.com/apps/ios/app/gmail-email-from-google/details/
14,Cash App,Square Inc,https://www.appannie.com/apps/ios/app/square-cash-send-money-for-free/details/
