Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/ios/app/minecraft-pocket-edition/details/
2,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-6/details/
3,"YouTube: Watch, Listen, Stream",Google,https://www.appannie.com/apps/ios/app/youtube/details/
4,Fortnite,Epic Games,https://www.appannie.com/apps/ios/app/fortnite/details/
5,Roblox,Roblox,https://www.appannie.com/apps/ios/app/roblox-mobile/details/
6,Tinder,Match Group,https://www.appannie.com/apps/ios/app/tinder/details/
7,Disney+,Disney,https://www.appannie.com/apps/ios/app/disney-2/details/
8,Coin Master,Moon Active,https://www.appannie.com/apps/ios/app/coin-master/details/
9,Candy Crush Saga,King,https://www.appannie.com/apps/ios/app/candy-crush-saga/details/
10,Pandora: Music & Podcasts,Pandora,https://www.appannie.com/apps/ios/app/pandora-radio/details/
11,Bumble: Matches. Chats. Dating,Bumble,https://www.appannie.com/apps/ios/app/bumble-app/details/
12,Homescapes,Playrix,https://www.appannie.com/apps/ios/app/homescapes/details/
13,Gardenscapes,Playrix,https://www.appannie.com/apps/ios/app/gardenscapes-new-acres-2/details/
14,Toon Blast,Peak,https://www.appannie.com/apps/ios/app/toon-blast/details/
15,Netflix,Netflix,https://www.appannie.com/apps/ios/app/netflix/details/
16,Clash of Clans,Supercell,https://www.appannie.com/apps/ios/app/clash-of-clans/details/
17,Hulu: Stream TV shows & movies,Hulu,https://www.appannie.com/apps/ios/app/hulu-plus/details/
18,PUBG MOBILE - Mad Miramar,Tencent,https://www.appannie.com/apps/ios/app/pubg-mobile/details/
19,Twitch: Live Game Streaming,Twitch Interactive,https://www.appannie.com/apps/ios/app/460177396/details/
20,Pokémon GO,Niantic,https://www.appannie.com/apps/ios/app/pokemon-go/details/
21,Call of Duty®: Mobile,Activision Publishing,https://www.appannie.com/apps/ios/app/call-of-dutyr-mobile/details/
22,"BIGO LIVE-Live Stream, Go Live",BIGO,https://www.appannie.com/apps/ios/app/bigo-live/details/
23,Garena Free Fire: Rampage,Garena Online,https://www.appannie.com/apps/ios/app/free-fire-battle-royale/details/
24,Slotomania™ Vegas Casino Slots,Playtika,https://www.appannie.com/apps/ios/app/slotomania-free-slots-games/details/
25,Fishdom,Playrix,https://www.appannie.com/apps/ios/app/fishdom-freeplay/details/
