Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/ios/app/minecraft-pocket-edition/details/
2,Monopoly,Marmalade,https://www.appannie.com/apps/ios/app/monopoly-2/details/
3,FlickType Keyboard,"Kpaw, LLC",https://www.appannie.com/apps/ios/app/flicktype-keyboard/details/
4,Procreate Pocket,Savage Interactive,https://www.appannie.com/apps/ios/app/procreate-pocket/details/
5,Plague Inc.,Ndemic Creations,https://www.appannie.com/apps/ios/app/plague-inc/details/
6,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-6/details/
7,Grand Theft Auto: San Andreas,Rockstar Games,https://www.appannie.com/apps/ios/app/763692274/details/
8,TouchRetouch,ADVA Soft,https://www.appannie.com/apps/ios/app/touchretouch/details/
9,HotSchedules,HotSchedules,https://www.appannie.com/apps/ios/app/hotschedules/details/
10,Geometry Dash,RobTop,https://www.appannie.com/apps/ios/app/geometry-dash/details/
11,Facetune,Lightricks,https://www.appannie.com/apps/ios/app/facetune/details/
12,True Skate,True Axis,https://www.appannie.com/apps/ios/app/true-skate/details/
13,NBA 2K20,2K Games,https://www.appannie.com/apps/ios/app/nba-2k20/details/
14,Endless Cards,Christophe Coyard,https://www.appannie.com/apps/ios/app/endless-cards/details/
15,Terraria,505 Games,https://www.appannie.com/apps/ios/app/640364616/details/
16,Dark Sky Weather,Apple,https://www.appannie.com/apps/ios/app/dark-sky-weather-radar-hyperlocal/details/
17,The Game of Life,Marmalade,https://www.appannie.com/apps/ios/app/the-game-of-life-2016-edition/details/
18,SkyView®,Terminal Eleven,https://www.appannie.com/apps/ios/app/404990064/details/
19,AutoSleep Track Sleep on Watch,Tantsissa,https://www.appannie.com/apps/ios/app/autosleep-track-sleep-from/details/
20,Five Nights at Freddy's,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-2-3/details/
21,Sky Guide,Fifth Star,https://www.appannie.com/apps/ios/app/sky-guide-view-stars-night/details/
22,Papa's Freezeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-freezeria-to-go/details/
23,Ultimate Custom Night,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/ultimate-custom-night/details/
24,Bloons TD 5,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-5/details/
25,Clue: The Classic Mystery Game,Marmalade,https://www.appannie.com/apps/ios/app/clue-the-classic-mystery-game/details/
26,Five Nights at Freddy's 2,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-2/details/
27,Farming Simulator 20,Giants Software,https://www.appannie.com/apps/ios/app/farming-simulator-20/details/
28,Arcadia - Arcade Watch Games,Raffaele D'Amato,https://www.appannie.com/apps/ios/app/arcadia-arcade-watch-games/details/
29,Stardew Valley,Chucklefish,https://www.appannie.com/apps/ios/app/stardew-valley/details/
30,Hear My Baby Heartbeat App,Fat Cigar Productions,https://www.appannie.com/apps/ios/app/1111420122/details/
31,The Wonder Weeks,Domus Technica,https://www.appannie.com/apps/ios/app/the-wonder-weeks-2/details/
32,Rarevision VHS - Retro 80s Cam,Rarevision,https://www.appannie.com/apps/ios/app/vhs-camcorder/details/
33,Grand Theft Auto: Vice City,Rockstar Games,https://www.appannie.com/apps/ios/app/grand-theft-auto-vice-city-2/details/
34,Exploding Kittens®,Exploding Kittens,https://www.appannie.com/apps/ios/app/exploding-kittens-official/details/
35,Hi Monkey - Quick Chat,Mohammed Essabbar,https://www.appannie.com/apps/ios/app/hi-monkey-quick-chat/details/
36,Papa's Sushiria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-sushiria-to-go/details/
37,Toca Kitchen 2,Toca Boca,https://www.appannie.com/apps/ios/app/toca-kitchen-2/details/
38,Forest - Stay focused,Gyro Games,https://www.appannie.com/apps/ios/app/forest-stay-focused-be-present/details/
39,Five Nights at Freddy's: SL,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-sister-location/details/
40,Earn to Die 2,Not Doppler,https://www.appannie.com/apps/ios/app/earn-to-die-2/details/
41,Goat Simulator,Coffee Stain,https://www.appannie.com/apps/ios/app/goat-simulator/details/
42,Star Walk 2 - Night Sky Map,VitoTech,https://www.appannie.com/apps/ios/app/star-walk-2-guide-to-night/details/
43,Pocket Build,MoonBear,https://www.appannie.com/apps/ios/app/pocket-build/details/
44,Toca Hair Salon 3,Toca Boca,https://www.appannie.com/apps/ios/app/toca-hair-salon-3/details/
45,Flick Home Run !,Infinity Pocket,https://www.appannie.com/apps/ios/app/flick-home-run-!/details/
46,Mirror for Samsung TV,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-samsung-tv/details/
47,5-0 Radio Pro Police Scanner,Rego apps,https://www.appannie.com/apps/ios/app/5-0-radio-pro-police-scanner/details/
48,Call of Duty: Black Ops Zombies,Activision Publishing,https://www.appannie.com/apps/ios/app/call-of-duty-black-ops-zombies/details/
49,Cute CUT Pro,MobiVio,https://www.appannie.com/apps/ios/app/cute-cut-pro-full-featured/details/
50,Human: Fall Flat,505 Games,https://www.appannie.com/apps/ios/app/human-fall-flat-3/details/
51,Five Nights at Freddy's 4,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/1023146677/details/
52,Mirror for Roku - AirBeamTV,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-roku/details/
53,Screen Mirroring+ for Roku,2kit Consulting,https://www.appannie.com/apps/ios/app/tv-mirror-for-roku-mirroring/details/
54,Shadowrocket,XBuding,https://www.appannie.com/apps/ios/app/shadowrocket-for-shadowsocks/details/
55,CE5 Contact,Sirius Technology,https://www.appannie.com/apps/ios/app/ce5-contact/details/
56,Board Games Collection,Marmalade,https://www.appannie.com/apps/ios/app/board-games-collection-2/details/
57,Pou,Zakeh,https://www.appannie.com/apps/ios/app/pou/details/
58,Grand Theft Auto: The Trilogy,Rockstar Games,https://www.appannie.com/apps/ios/app/grand-theft-auto-the-trilogy/details/
59,FNaF 6: Pizzeria Simulator,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/fnaf-6-pizzeria-simulator/details/
60,Getting Over It,Bennett Foddy,https://www.appannie.com/apps/ios/app/getting-over-it-3/details/
61,60 Seconds! Atomic Adventure,Robot Gentleman,https://www.appannie.com/apps/ios/app/60-seconds-atomic-adventure/details/
62,Scribblenauts Remix,Warner Bros,https://www.appannie.com/apps/ios/app/scribblenauts-remix/details/
63,Rebel Inc.,Ndemic Creations,https://www.appannie.com/apps/ios/app/rebel-inc/details/
64,OneCast - Xbox Game Streaming,Owen Stanley,https://www.appannie.com/apps/ios/app/onecast-2/details/
65,Catan Classic,USMGames,https://www.appannie.com/apps/ios/app/catan/details/
66,ACNH Travel Guide,Jeffrey Kuiken,https://www.appannie.com/apps/ios/app/acnh-travel-guide/details/
67,J23 - Release Dates & Restocks,Matt Berg,https://www.appannie.com/apps/ios/app/j23-jordan-release-dates-and-history/details/
68,Assassin's Creed Identity,Ubisoft,https://www.appannie.com/apps/ios/app/880971164/details/
69,Superimpose X,Pankaj Goswami,https://www.appannie.com/apps/ios/app/superimpose-x/details/
70,Five Nights at Freddy's 3,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-3/details/
71,Pocket God,BoltCreative,https://www.appannie.com/apps/ios/app/pocket-god/details/
72,Hitman Sniper,SQUARE ENIX,https://www.appannie.com/apps/ios/app/hitman-sniper/details/
73,Papa's Burgeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-burgeria-to-go/details/
74,Bully: Anniversary Edition,Rockstar Games,https://www.appannie.com/apps/ios/app/bully-anniversary-edition/details/
75,GoodNotes 5,TimeBaseTech,https://www.appannie.com/apps/ios/app/goodnotes-5/details/
76,Lowriders Comeback 2: Cruising,Anton Lebed,https://www.appannie.com/apps/ios/app/lowriders-comeback-2-cruising/details/
77,NBA JAM by EA SPORTS™,Electronic Arts,https://www.appannie.com/apps/ios/app/nba-jam-by-ea-sports/details/
78,Paprika Recipe Manager 3,Hindsight,https://www.appannie.com/apps/ios/app/paprika-rezept-manager-3/details/
79,Papa's Wingeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-wingeria-to-go/details/
80,Puffin Browser Pro,CloudMosa,https://www.appannie.com/apps/ios/app/puffin-web-browser/details/
81,Bike Race Pro: Motor Racing,Wildlife Studios,https://www.appannie.com/apps/ios/app/bike-race-pro/details/
