Rank,Name,Company,Link
1,Minecraft,Mojang,https://www.appannie.com/apps/ios/app/minecraft-pocket-edition/details/
2,Monopoly,Marmalade,https://www.appannie.com/apps/ios/app/monopoly-2/details/
3,Procreate Pocket,Savage Interactive,https://www.appannie.com/apps/ios/app/procreate-pocket/details/
4,Geometry Dash,RobTop,https://www.appannie.com/apps/ios/app/geometry-dash/details/
5,NBA 2K20,2K Games,https://www.appannie.com/apps/ios/app/nba-2k20/details/
6,Bloons TD 6,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-6/details/
7,HotSchedules,HotSchedules,https://www.appannie.com/apps/ios/app/hotschedules/details/
8,Dark Sky Weather,Apple,https://www.appannie.com/apps/ios/app/dark-sky-weather-radar-hyperlocal/details/
9,Plague Inc.,Ndemic Creations,https://www.appannie.com/apps/ios/app/plague-inc/details/
10,Facetune,Lightricks,https://www.appannie.com/apps/ios/app/facetune/details/
11,True Skate,True Axis,https://www.appannie.com/apps/ios/app/true-skate/details/
12,Grand Theft Auto: San Andreas,Rockstar Games,https://www.appannie.com/apps/ios/app/763692274/details/
13,TouchRetouch,ADVA Soft,https://www.appannie.com/apps/ios/app/touchretouch/details/
14,Five Nights at Freddy's,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-2-3/details/
15,Papa's Freezeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-freezeria-to-go/details/
16,The Game of Life,Marmalade,https://www.appannie.com/apps/ios/app/the-game-of-life-2016-edition/details/
17,A Normal Lost Phone,Plug In Digital,https://www.appannie.com/apps/ios/app/a-normal-lost-phone/details/
18,Colors For Twitter,Hassan Mehboob,https://www.appannie.com/apps/ios/app/colors-for-twitter/details/
19,Five Nights at Freddy's 2,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-2/details/
20,Terraria,505 Games,https://www.appannie.com/apps/ios/app/640364616/details/
21,Arcadia - Arcade Watch Games,Raffaele D'Amato,https://www.appannie.com/apps/ios/app/arcadia-arcade-watch-games/details/
22,Die With Me,Dries Depoorter,https://www.appannie.com/apps/ios/app/die-with-me/details/
23,AutoSleep Track Sleep on Watch,Tantsissa,https://www.appannie.com/apps/ios/app/autosleep-track-sleep-from/details/
24,Farming Simulator 20,Giants Software,https://www.appannie.com/apps/ios/app/farming-simulator-20/details/
25,Sky Guide,Fifth Star,https://www.appannie.com/apps/ios/app/sky-guide-view-stars-night/details/
26,Ultimate Custom Night,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/ultimate-custom-night/details/
27,The Wonder Weeks,Domus Technica,https://www.appannie.com/apps/ios/app/the-wonder-weeks-2/details/
28,SkyView®,Terminal Eleven,https://www.appannie.com/apps/ios/app/404990064/details/
29,Pou,Zakeh,https://www.appannie.com/apps/ios/app/pou/details/
30,Superimpose,Pankaj Goswami,https://www.appannie.com/apps/ios/app/superimpose-2/details/
31,Clue: The Classic Mystery Game,Marmalade,https://www.appannie.com/apps/ios/app/clue-the-classic-mystery-game/details/
32,Bloons TD 5,Ninja Kiwi,https://www.appannie.com/apps/ios/app/bloons-td-5/details/
33,Hear My Baby Heartbeat App,Fat Cigar Productions,https://www.appannie.com/apps/ios/app/1111420122/details/
34,Hi Monkey - Quick Chat,Mohammed Essabbar,https://www.appannie.com/apps/ios/app/hi-monkey-quick-chat/details/
35,Slay the Spire,Humble Bundle,https://www.appannie.com/apps/ios/app/slay-the-spire/details/
36,Screen Mirroring+ for Roku,2kit Consulting,https://www.appannie.com/apps/ios/app/tv-mirror-for-roku-mirroring/details/
37,Scribblenauts Remix,Warner Bros,https://www.appannie.com/apps/ios/app/scribblenauts-remix/details/
38,Five Nights at Freddy's: SL,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-sister-location/details/
39,Call of Duty: Black Ops Zombies,Activision Publishing,https://www.appannie.com/apps/ios/app/call-of-duty-black-ops-zombies/details/
40,Five Nights at Freddy's 4,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/1023146677/details/
41,Rarevision VHS - Retro 80s Cam,Rarevision,https://www.appannie.com/apps/ios/app/vhs-camcorder/details/
42,Lowriders Comeback 2: Cruising,Anton Lebed,https://www.appannie.com/apps/ios/app/lowriders-comeback-2-cruising/details/
43,FlickType Keyboard,"Kpaw, LLC",https://www.appannie.com/apps/ios/app/flicktype-keyboard/details/
44,Shadowrocket,XBuding,https://www.appannie.com/apps/ios/app/shadowrocket-for-shadowsocks/details/
45,Stardew Valley,Chucklefish,https://www.appannie.com/apps/ios/app/stardew-valley/details/
46,J23 - Release Dates & Restocks,Matt Berg,https://www.appannie.com/apps/ios/app/j23-jordan-release-dates-and-history/details/
47,Crying Suns,Humble Bundle,https://www.appannie.com/apps/ios/app/crying-suns-2/details/
48,Mirror for Samsung TV,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-samsung-tv/details/
49,Forest - Stay focused,Seekrtech,https://www.appannie.com/apps/ios/app/forest-stay-focused-be-present/details/
50,Pocket God,BoltCreative,https://www.appannie.com/apps/ios/app/pocket-god/details/
51,Goat Simulator,Coffee Stain,https://www.appannie.com/apps/ios/app/goat-simulator/details/
52,Exploding Kittens®,Exploding Kittens,https://www.appannie.com/apps/ios/app/exploding-kittens-official/details/
53,NBA JAM by EA SPORTS™,Electronic Arts,https://www.appannie.com/apps/ios/app/nba-jam-by-ea-sports/details/
54,Papa's Sushiria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-sushiria-to-go/details/
55,The Room: Old Sins,Fireproof Games,https://www.appannie.com/apps/ios/app/1286676015/details/
56,Mirror for Roku - AirBeamTV,AirBeamTV BV,https://www.appannie.com/apps/ios/app/mirror-for-roku/details/
57,Grand Theft Auto: Vice City,Rockstar Games,https://www.appannie.com/apps/ios/app/grand-theft-auto-vice-city-2/details/
58,Catan Classic,USMGames,https://www.appannie.com/apps/ios/app/catan/details/
59,Board Games Collection,Marmalade,https://www.appannie.com/apps/ios/app/board-games-collection-2/details/
60,EpocCam Webcamera for Computer,Kinoni,https://www.appannie.com/apps/ios/app/epoccam-hd-wireless-computer/details/
61,WaterMinder®,Funn Media,https://www.appannie.com/apps/ios/app/waterminder-water-hydration/details/
62,Cute CUT Pro,MobiVio,https://www.appannie.com/apps/ios/app/cute-cut-pro-full-featured/details/
63,Five Nights at Freddy's 3,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/five-nights-at-freddys-3/details/
64,FiLMiC Pro－Video Camera,FiLMiC,https://www.appannie.com/apps/ios/app/filmic-pro-2-3/details/
65,Scribblenauts Unlimited,Warner Bros,https://www.appannie.com/apps/ios/app/scribblenauts-unlimited/details/
66,Flick Home Run !,Infinity Pocket,https://www.appannie.com/apps/ios/app/flick-home-run-!/details/
67,Toca Kitchen 2,Toca Boca,https://www.appannie.com/apps/ios/app/toca-kitchen-2/details/
68,Toca Hair Salon 3,Toca Boca,https://www.appannie.com/apps/ios/app/toca-hair-salon-3/details/
69,OneCast - Xbox Game Streaming,Owen Stanley,https://www.appannie.com/apps/ios/app/onecast-2/details/
70,Assassin's Creed Identity,Ubisoft,https://www.appannie.com/apps/ios/app/880971164/details/
71,Pocket Build,MoonBear,https://www.appannie.com/apps/ios/app/pocket-build/details/
72,Ticket to Ride - Train Game,Asmodee,https://www.appannie.com/apps/ios/app/ticket-to-ride/details/
73,Papa's Burgeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-burgeria-to-go/details/
74,Human: Fall Flat,505 Games,https://www.appannie.com/apps/ios/app/human-fall-flat-3/details/
75,Puffin Browser Pro,CloudMosa,https://www.appannie.com/apps/ios/app/puffin-web-browser/details/
76,Papa's Wingeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-wingeria-to-go/details/
77,Grand Theft Auto: The Trilogy,Rockstar Games,https://www.appannie.com/apps/ios/app/grand-theft-auto-the-trilogy/details/
78,FNaF 6: Pizzeria Simulator,"Clickteam, LLC",https://www.appannie.com/apps/ios/app/fnaf-6-pizzeria-simulator/details/
79,Screen Mirroring+ for Fire TV,2kit Consulting,https://www.appannie.com/apps/ios/app/tv-mirror-for-fire-tv-screen/details/
80,Superimpose X,Pankaj Goswami,https://www.appannie.com/apps/ios/app/superimpose-x/details/
81,Forks Over Knives (Recipes),Forks Over Knives,https://www.appannie.com/apps/ios/app/forks-over-knives-healthy/details/
