New Rank,Previous Rank,Name,Company,Category,Link,Reason,Date stamp
11,-,Find Proof - Cheaters puzzle,FTY,IOS Free,https://www.appannie.com/apps/ios/app/find-proof-unlock-puzzle/details/,New entry,2020-06-29 18:22:28
15,-,Beat Blade: Dash Dance,耀素 卢,IOS Free,https://www.appannie.com/apps/ios/app/beat-runner-edm-surfer/details/,New entry,2020-06-29 18:22:29
30,-,Parler,Parler LLC,IOS Free,https://www.appannie.com/apps/ios/app/parler-app/details/,New entry,2020-06-29 18:22:31
31,-,Taco Bell,Taco Bell,IOS Free,https://www.appannie.com/apps/ios/app/taco-bell/details/,New entry,2020-06-29 18:22:32
32,-,Samurai Flash,Supersonic,IOS Free,https://www.appannie.com/apps/ios/app/samurai-flash/details/,New entry,2020-06-29 18:22:34
75,-,Johnny Trigger: Sniper,SayGames,IOS Free,https://www.appannie.com/apps/ios/app/johnny-trigger-sniper/details/,New entry,2020-06-29 18:22:35
90,-,Solitaire Deluxe® Cash Prizes,Mobile Deluxe,IOS Free,https://www.appannie.com/apps/ios/app/solitaire-deluxe-cash-prizes/details/,New entry,2020-06-29 18:22:37
124,-,Combat of Hero,Zhaoxiguangnian,IOS Free,https://www.appannie.com/apps/ios/app/super-stick-fight-man/details/,New entry,2020-06-29 18:22:38
201,-,Best VPN Proxy Betternet,Betternet,IOS Free,https://www.appannie.com/apps/ios/app/unlimited-free-vpn-by-betternet/details/,New entry,2020-06-29 18:22:40
204,-,AirBrush - Best Photo Editor,Meitu,IOS Free,https://www.appannie.com/apps/ios/app/airbrush-best-selfie-and-photo-editor-for-free/details/,New entry,2020-06-29 18:22:41
212,-,zoom university,"Dandy, Inc.",IOS Free,https://www.appannie.com/apps/ios/app/zoom-university/details/,New entry,2020-06-29 18:22:43
230,-,Happy Color™ – Color by Number,X-Flow,IOS Free,https://www.appannie.com/apps/ios/app/malbuch-malen-nach-zahlen/details/,New entry,2020-06-29 18:22:44
231,-,Instacart - grocery deliveries,Instacart,IOS Free,https://www.appannie.com/apps/ios/app/instacart/details/,New entry,2020-06-29 18:22:45
237,-,Pokémon Café Mix,Pokemon,IOS Free,https://www.appannie.com/apps/ios/app/pokemon-cafe-mix/details/,New entry,2020-06-29 18:22:47
248,-,BET+,BET Networks,IOS Free,https://www.appannie.com/apps/ios/app/1456618978/details/,New entry,2020-06-29 18:22:48
263,-,Neon On!,Crazy Labs,IOS Free,https://www.appannie.com/apps/ios/app/neon-on/details/,New entry,2020-06-29 18:22:49
266,-,PlantSnap Plant Identification,PlantSnap,IOS Free,https://www.appannie.com/apps/ios/app/plantsnap-plant-identification/details/,New entry,2020-06-29 18:22:51
268,-,Fluid Simulation,Pavel Dobryakov,IOS Free,https://www.appannie.com/apps/ios/app/fluid-simulation-2/details/,New entry,2020-06-29 18:22:52
297,-,Norton Secure VPN & Proxy VPN,Symantec,IOS Free,https://www.appannie.com/apps/ios/app/norton-wifi-privacy-vpn/details/,New entry,2020-06-29 18:22:54
303,-,Groovebook: Book of Prints,Shutterfly,IOS Free,https://www.appannie.com/apps/ios/app/groovebook/details/,New entry,2020-06-29 18:22:55
305,-,Dig This!,Raketspel,IOS Free,https://www.appannie.com/apps/ios/app/dig-it-3/details/,New entry,2020-06-29 18:22:57
323,-,"Bird - Be Free, Enjoy the Ride",Bird Rides,IOS Free,https://www.appannie.com/apps/ios/app/bird-enjoy-the-ride/details/,New entry,2020-06-29 18:22:59
329,-,CBS - Full Episodes & Live TV,CBS Interactive,IOS Free,https://www.appannie.com/apps/ios/app/530168168/details/,New entry,2020-06-29 18:23:01
331,-,The Sims™ FreePlay,Electronic Arts,IOS Free,https://www.appannie.com/apps/ios/app/the-simstm-freeplay/details/,New entry,2020-06-29 18:23:02
337,-,It's Literally Just Mowing,Protostar,IOS Free,https://www.appannie.com/apps/ios/app/its-literally-just-mowing/details/,New entry,2020-06-29 18:23:04
338,-,Totally Reliable Delivery,tinyBuild,IOS Free,https://www.appannie.com/apps/ios/app/totally-reliable-delivery/details/,New entry,2020-06-29 18:23:05
341,-,BET NOW - Watch Shows,BET Networks,IOS Free,https://www.appannie.com/apps/ios/app/bet-now-watch-shows/details/,New entry,2020-06-29 18:23:07
344,-,Push Battle ! - cool game,FTY,IOS Free,https://www.appannie.com/apps/ios/app/push-battle/details/,New entry,2020-06-29 18:23:08
354,-,Panera Bread,Panera Bread,IOS Free,https://www.appannie.com/apps/ios/app/panera-bread/details/,New entry,2020-06-29 18:23:25
355,-,Sushi Bar Idle,Green Panda,IOS Free,https://www.appannie.com/apps/ios/app/sushi-bar-idle/details/,New entry,2020-06-29 18:23:28
357,-,Piano Tiles 2™ - Piano Game,Cheetah Mobile,IOS Free,https://www.appannie.com/apps/ios/app/piano-tairu-2buratsukutairuwotatake-2/details/,New entry,2020-06-29 18:23:31
358,-,Perfect Assassin,Tokyo Smart Games,IOS Free,https://www.appannie.com/apps/ios/app/perfect-assassin/details/,New entry,2020-06-29 18:23:33
367,-,Think Dirty – Shop Clean,Think Dirty,IOS Free,https://www.appannie.com/apps/ios/app/think-dirty/details/,New entry,2020-06-29 18:23:34
371,-,Canva: Video & Layout Design,Canva,IOS Free,https://www.appannie.com/apps/ios/app/canva-graphic-design-photo/details/,New entry,2020-06-29 18:23:35
375,-,West Game,Leyi Network,IOS Free,https://www.appannie.com/apps/ios/app/west-game/details/,New entry,2020-06-29 18:23:37
385,-,Reflectly: Self-Care Journal,Reflectly,IOS Free,https://www.appannie.com/apps/ios/app/reflectly/details/,New entry,2020-06-29 18:23:39
386,-,Pot Master 3D,Coda Platform,IOS Free,https://www.appannie.com/apps/ios/app/pottery-3d/details/,New entry,2020-06-29 18:23:40
408,-,"SHOWTIME: TV, Movies and More",Showtime Networks,IOS Free,https://www.appannie.com/apps/ios/app/996246479/details/,New entry,2020-06-29 18:23:41
409,-,Official Trump 2020 App,DonaldJTrump For President,IOS Free,https://www.appannie.com/apps/ios/app/america-first/details/,New entry,2020-06-29 18:23:43
413,-,Traffic Run!,Geisha Tokyo,IOS Free,https://www.appannie.com/apps/ios/app/traffic-run-2/details/,New entry,2020-06-29 18:23:44
416,-,Monkey Ropes,PlaySide,IOS Free,https://www.appannie.com/apps/ios/app/monkey-ropes/details/,New entry,2020-06-29 18:23:46
418,-,The Pattern,Pattern Home,IOS Free,https://www.appannie.com/apps/ios/app/the-pattern-2/details/,New entry,2020-06-29 18:23:47
419,-,Lime - Your Ride Anytime,Neutron Holdings,IOS Free,https://www.appannie.com/apps/ios/app/limebike/details/,New entry,2020-06-29 18:23:49
422,-,Champs Sports: Kicks & Apparel,Foot Locker,IOS Free,https://www.appannie.com/apps/ios/app/champs-sports/details/,New entry,2020-06-29 18:23:50
425,-,CSR Racing 2 - #1 Racing Games,NaturalMotion,IOS Free,https://www.appannie.com/apps/ios/app/887947640/details/,New entry,2020-06-29 18:23:51
426,-,Zooba: Zoo Battle Royale Game,Wildlife Studios,IOS Free,https://www.appannie.com/apps/ios/app/zoba-zoo-online-battle-arena/details/,New entry,2020-06-29 18:23:53
427,-,Hibbett | City Gear – Sneakers,Hibbett Sports,IOS Free,https://www.appannie.com/apps/ios/app/hibbett-sports/details/,New entry,2020-06-29 18:23:54
430,-,Voice Translator App.,BPMobile,IOS Free,https://www.appannie.com/apps/ios/app/voice-translator-free-speak-2/details/,New entry,2020-06-29 18:23:56
440,-,Crowd City,Voodoo,IOS Free,https://www.appannie.com/apps/ios/app/crowd-city/details/,New entry,2020-06-29 18:23:57
442,-,Macy's,Macys,IOS Free,https://www.appannie.com/apps/ios/app/macys/details/,New entry,2020-06-29 18:23:58
447,-,eBay Motors: Buy & Sell Cars,eBay,IOS Free,https://www.appannie.com/apps/ios/app/ebay-motors-2/details/,New entry,2020-06-29 18:24:00
449,-,Redecor - Design Home Makeover,Reworks,IOS Free,https://www.appannie.com/apps/ios/app/redecor-home-design-game/details/,New entry,2020-06-29 18:24:01
453,-,FreePrints – Photos Delivered,PlanetArt,IOS Free,https://www.appannie.com/apps/ios/app/free-prints/details/,New entry,2020-06-29 18:24:02
455,-,SmartThings,Samsung Electronics,IOS Free,https://www.appannie.com/apps/ios/app/samsung-connect/details/,New entry,2020-06-29 18:24:04
457,-,ESPN: Live Sports & Scores,ESPN,IOS Free,https://www.appannie.com/apps/ios/app/espn/details/,New entry,2020-06-29 18:24:05
458,-,DealDash - Bid & Save Auctions,DealDash,IOS Free,https://www.appannie.com/apps/ios/app/dealdash/details/,New entry,2020-06-29 18:24:07
461,-,Crash Delivery,White Room Games,IOS Free,https://www.appannie.com/apps/ios/app/crazy-delivery-2/details/,New entry,2020-06-29 18:24:09
462,-,Rave – Watch Together,"Rave Media, Inc.",IOS Free,https://www.appannie.com/apps/ios/app/wemesh/details/,New entry,2020-06-29 18:24:10
468,-,Trivia.io,8SEC,IOS Free,https://www.appannie.com/apps/ios/app/trivia-io/details/,New entry,2020-06-29 18:24:12
469,-,Pokémon HOME,Pokemon,IOS Free,https://www.appannie.com/apps/ios/app/pokc3a9mon-home/details/,New entry,2020-06-29 18:24:13
472,-,Monster Legends,Social Point,IOS Free,https://www.appannie.com/apps/ios/app/monster-legends-mobile/details/,New entry,2020-06-29 18:24:14
474,-,Boomerang from Instagram,Instagram,IOS Free,https://www.appannie.com/apps/ios/app/boomerang-from-instagram/details/,New entry,2020-06-29 18:24:16
477,-,Enlight Quickshot: Edit Photos,Lightricks,IOS Free,https://www.appannie.com/apps/ios/app/enlight-quickshot/details/,New entry,2020-06-29 18:24:17
478,-,Fabulous - Daily Self Care,TheFabulous,IOS Free,https://www.appannie.com/apps/ios/app/fabulous-motivate-me/details/,New entry,2020-06-29 18:24:19
480,-,"Zombies, Run!",Six to Start,IOS Free,https://www.appannie.com/apps/ios/app/zombies-run/details/,New entry,2020-06-29 18:24:20
481,-,Square Bird.,Moonee,IOS Free,https://www.appannie.com/apps/ios/app/square-bird/details/,New entry,2020-06-29 18:24:21
482,-,Dollar General,Dollar General,IOS Free,https://www.appannie.com/apps/ios/app/dollar-general/details/,New entry,2020-06-29 18:24:23
485,-,Alibaba.com B2B Trade App,Alibaba,IOS Free,https://www.appannie.com/apps/ios/app/alibabacom/details/,New entry,2020-06-29 18:24:24
487,-,BJs Wholesale Club,BJ's Wholesale Club,IOS Free,https://www.appannie.com/apps/ios/app/bjs-wholesale-club-2/details/,New entry,2020-06-29 18:24:25
488,-,"BIGO LIVE-Live Stream, Go Live",BIGO,IOS Free,https://www.appannie.com/apps/ios/app/bigo-live/details/,New entry,2020-06-29 18:24:27
490,-,GarageBand,Apple,IOS Free,https://www.appannie.com/apps/ios/app/garageband/details/,New entry,2020-06-29 18:24:28
491,-,Toon Blast,Peak,IOS Free,https://www.appannie.com/apps/ios/app/toon-blast/details/,New entry,2020-06-29 18:24:30
494,-,30 Day Fitness,Bending Spoons,IOS Free,https://www.appannie.com/apps/ios/app/30-day-fitness-challenges-free-a-perfect-workout-for-ab-push-up-squat-toned-arms-firm-butt-cardio/details/,New entry,2020-06-29 18:24:31
